pdb,reason,subgroup,temperature_k,ligand_len,receptor_len,size_source,pdb_path,n_ca_ligand,n_ca_receptor,dN_ligand_nm,dN_receptor_nm
2OI9,too_small_partner_len,TCR-pMHC,,184.0,221.0,modeled_cache,src\bridging\generatedData\pdb_cache\2OI9.pdb,184.0,221.0,1.3544858694076538,1.3900996446609497
2OOB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2P5E,KEEP,TCR-pMHC,298.0,385.0,435.0,modeled_cache,src\bridging\generatedData\pdb_cache\2P5E.pdb,385.0,435.0,1.2580084800720215,1.4135534763336182
2PCB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2PCC,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2PYE,KEEP,TCR-pMHC,298.0,385.0,437.0,modeled_cache,src\bridging\generatedData\pdb_cache\2PYE.pdb,385.0,437.0,1.2678184509277344,1.420881986618042
2QJ9,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2QJA,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2QJB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2REX,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2SGP,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2SGQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2SIC,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2UWE,KEEP,TCR-pMHC,298.0,384.0,431.0,modeled_cache,src\bridging\generatedData\pdb_cache\2UWE.pdb,384.0,431.0,1.367447018623352,1.4869345426559448
2VIR,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2VIS,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2VLN,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2VLO,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2VLP,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2VLQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2VLR,KEEP,TCR-pMHC,298.0,385.0,439.0,modeled_cache,src\bridging\generatedData\pdb_cache\2VLR.pdb,385.0,439.0,1.515355110168457,1.4811046123504639
2VN5,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2WPT,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3AAA,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3B4V,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BDY,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BE1,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BIW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BK3,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BN9,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BP8,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BT1,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BTD,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BTE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BTF,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BTG,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BTH,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BTM,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BTQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BTT,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BTW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3BX1,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3C60,KEEP,TCR-pMHC,298.0,383.0,435.0,modeled_cache,src\bridging\generatedData\pdb_cache\3C60.pdb,383.0,435.0,1.4030345678329468,1.5235315561294556
3D3V,KEEP,TCR-pMHC,298.0,383.0,445.0,modeled_cache,src\bridging\generatedData\pdb_cache\3D3V.pdb,383.0,445.0,1.3927197456359863,1.5351630449295044
3D5R,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3D5S,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3EG5,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3EQS,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3EQY,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3F1S,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3G6D,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3H9S,KEEP,TCR-pMHC,298.0,384.0,445.0,modeled_cache,src\bridging\generatedData\pdb_cache\3H9S.pdb,384.0,445.0,1.3656506538391113,1.5070726871490479
3HFM,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3HG1,KEEP,TCR-pMHC,298.0,386.0,438.0,modeled_cache,src\bridging\generatedData\pdb_cache\3HG1.pdb,386.0,438.0,1.3190264701843262,1.3699517250061035
3HH2,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3IDX,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3KBH,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3KUD,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3L5X,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3LB6,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3LNZ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3LZF,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3M62,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3M63,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3MZG,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3MZW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3N06,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3N0P,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3N4I,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3N85,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3NCB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3NCC,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3NGB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3NPS,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3NVN,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3NVQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3PWP,KEEP,TCR-pMHC,298.0,384.0,445.0,modeled_cache,src\bridging\generatedData\pdb_cache\3PWP.pdb,384.0,445.0,1.4088213443756104,1.5344682931900024
3Q3J,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3Q8D,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3QDG,KEEP,TCR-pMHC,298.0,385.0,441.0,modeled_cache,src\bridging\generatedData\pdb_cache\3QDG.pdb,385.0,441.0,1.2955923080444336,1.3291423320770264
3QDJ,KEEP,TCR-pMHC,298.0,384.0,441.0,modeled_cache,src\bridging\generatedData\pdb_cache\3QDJ.pdb,384.0,441.0,1.3024824857711792,1.3479082584381104
3QFJ,KEEP,TCR-pMHC,277.0,384.0,445.0,modeled_cache,src\bridging\generatedData\pdb_cache\3QFJ.pdb,384.0,445.0,1.4011846780776978,1.531704068183899
3QHY,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3QIB,KEEP,TCR-pMHC,298.0,358.0,436.0,modeled_cache,src\bridging\generatedData\pdb_cache\3QIB.pdb,358.0,436.0,1.2694895267486572,1.3480236530303955
3R9A,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3RF3,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3S9D,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3SE3,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3SE3,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3SE4,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3SE4,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3SE8,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3SE9,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3SEK,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3SF4,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3SGB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3SZK,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3TGK,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3U82,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3UIG,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3UIH,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3UII,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3VR6,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3W2D,subgroup_filtered:OTHER,OTHER,,,,,,,,,
3WWN,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4B0M,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4BFI,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4CPA,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4CVW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4E6K,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4EKD,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4FTV,KEEP,TCR-pMHC,298.0,384.0,445.0,modeled_cache,src\bridging\generatedData\pdb_cache\4FTV.pdb,384.0,445.0,1.365878701210022,1.5462169647216797
4FZA,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4G0N,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4G2V,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4GNK,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4GU0,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4GXU,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4HFK,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4HRN,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4HSA,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4I77,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4J2L,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4JEU,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4JFD,KEEP,TCR-pMHC,298.0,386.0,441.0,modeled_cache,src\bridging\generatedData\pdb_cache\4JFD.pdb,386.0,441.0,1.242087960243225,1.3651645183563232
4JFE,KEEP,TCR-pMHC,298.0,386.0,442.0,modeled_cache,src\bridging\generatedData\pdb_cache\4JFE.pdb,386.0,442.0,1.233377456665039,1.3620115518569946
4JFF,KEEP,TCR-pMHC,298.0,386.0,442.0,modeled_cache,src\bridging\generatedData\pdb_cache\4JFF.pdb,386.0,442.0,1.2302489280700684,1.362958550453186
4JGH,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4JPK,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4K71,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4KRL,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4KRO,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4KRP,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4L0P,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4L3E,KEEP,TCR-pMHC,298.0,385.0,441.0,modeled_cache,src\bridging\generatedData\pdb_cache\4L3E.pdb,385.0,441.0,1.3121299743652344,1.3561599254608154
4LRX,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4MNQ,KEEP,TCR-pMHC,298.0,385.0,440.0,modeled_cache,src\bridging\generatedData\pdb_cache\4MNQ.pdb,385.0,440.0,1.3621797561645508,1.3547937870025635
4MYW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4N8V,too_small_partner_len,TCR-pMHC,,190.0,383.0,modeled_cache,src\bridging\generatedData\pdb_cache\4N8V.pdb,190.0,383.0,1.5685399770736694,1.6029605865478516
4NKQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4NM8,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4NZW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4O27,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4OFY,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4OZG,KEEP,TCR-pMHC,293.0,374.0,434.0,modeled_cache,src\bridging\generatedData\pdb_cache\4OZG.pdb,374.0,434.0,1.3304283618927002,1.398245930671692
4P23,KEEP,TCR-pMHC,298.0,379.0,438.0,modeled_cache,src\bridging\generatedData\pdb_cache\4P23.pdb,379.0,438.0,1.3842360973358154,1.5517678260803223
4P5T,KEEP,TCR-pMHC,298.0,378.0,435.0,modeled_cache,src\bridging\generatedData\pdb_cache\4P5T.pdb,378.0,435.0,1.4159512519836426,1.4791200160980225
4PWX,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4RA0,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4RS1,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4U6H,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4UYP,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4UYQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4WND,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4X4M,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4Y61,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4YEB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4YFD,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4YH7,subgroup_filtered:OTHER,OTHER,,,,,,,,,
4ZS6,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5C6T,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5CXB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5CYK,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5DWU,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5E6P,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5E9D,KEEP,TCR-pMHC,298.0,374.0,225.0,modeled_cache,src\bridging\generatedData\pdb_cache\5E9D.pdb,374.0,225.0,1.4464114904403687,1.640049695968628
5F4E,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5K39,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5M2O,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5TAR,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5UFE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5UFQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
5XCO,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CSE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CSE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CSE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CSE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CSE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CSE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1ACB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1ACB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
