pdb,reason,temperature_k,ligand_len,receptor_len,size_source,subgroup,pdb_path,n_ca_ligand,n_ca_receptor,dN_ligand_nm,dN_receptor_nm
1CT2,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CT2.pdb,185.0,51.0,1.0790133476257324,1.897877812385559
1CT4,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CT4.pdb,185.0,51.0,1.0793404579162598,1.8929362297058105
1CZ8,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CZ8.pdb,431.0,188.0,1.2650792598724365,1.424307107925415
1DAN,KEEP,310.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,0.9854258894920349,0.9471889734268188
1DQJ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1DQJ.pdb,424.0,129.0,1.2011600732803345,1.2613525390625
1DVF,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1DVF.pdb,223.0,228.0,1.2913494110107422,1.3097801208496094
1.00E+50,invalid_pdb_id,,,,,OTHER,,,,,
1.00E+96,invalid_pdb_id,,,,,OTHER,,,,,
1EAW,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1EAW.pdb,241.0,56.0,1.0169583559036255,1.7947723865509033
1EFN,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1EFN.pdb,57.0,104.0,1.8392038345336914,1.676652193069458
1EMV,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1EMV.pdb,83.0,131.0,1.336970329284668,1.4803903102874756
1F47,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\1F47.pdb,17.0,144.0,inf,1.370436668395996
1F5R,interface_too_small_for_N,,,,,OTHER,src\bridging\generatedData\pdb_cache\1F5R.pdb,216.0,57.0,1.0950124263763428,2.3666985034942627
1FC2,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\1FC2.pdb,43.0,206.0,inf,1.4734212160110474
1FCC,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1FCC.pdb,206.0,56.0,1.4448015689849854,1.4295387268066406
1FFW,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1FFW.pdb,128.0,68.0,1.5280972719192505,1.8048659563064575
1FR2,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1FR2.pdb,83.0,131.0,1.3319534063339233,1.4670015573501587
1FSS,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1FSS.pdb,532.0,61.0,1.0920432806015015,1.5995028018951416
1FY8,interface_too_small_for_N,,,,,OTHER,src\bridging\generatedData\pdb_cache\1FY8.pdb,215.0,56.0,1.09235417842865,2.417341470718384
1GC1,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.0735138654708862,1.170660376548767
1GCQ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1GCQ.pdb,113.0,69.0,1.0889948606491089,1.415614366531372
1GL0,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\1GL0.pdb,241.0,32.0,1.0066373348236084,inf
1GL1,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\1GL1.pdb,239.0,34.0,1.0657896995544434,inf
1GRN,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1GRN.pdb,191.0,197.0,1.1978455781936646,1.0424652099609375
1GUA,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1GUA.pdb,167.0,76.0,1.4326837062835693,1.769487977027893
1H9D,KEEP,273.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1H9D.pdb,125.0,125.0,1.1410712003707886,1.1579242944717407
1HE8,KEEP,293.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1HE8.pdb,749.0,166.0,1.3618005514144897,1.2416861057281494
1IAR,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1IAR.pdb,129.0,188.0,1.2841343879699707,1.5915751457214355
1JCK,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1JCK.pdb,238.0,239.0,1.445106863975525,1.199642300605774
1JRH,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.3059769868850708,1.7212475538253784
1JTD,KEEP,296.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1JTD.pdb,262.0,273.0,1.1338813304901123,1.1182103157043457
1JTG,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1JTG.pdb,262.0,165.0,1.0307092666625977,1.0153987407684326
1K8R,KEEP,310.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1K8R.pdb,166.0,82.0,1.4393789768218994,1.6367098093032837
1KAC,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1KAC.pdb,185.0,124.0,1.2591644525527954,1.3363621234893799
1KBH,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\1KBH.pdb,47.0,59.0,inf,0.978236198425293
1KIP,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1KIP.pdb,223.0,129.0,1.2920842170715332,1.4994546175003052
1KIQ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1KIQ.pdb,223.0,129.0,1.2940020561218262,1.4955284595489502
1KIR,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1KIR.pdb,223.0,129.0,1.2781267166137695,1.4917107820510864
1KNE,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\1KNE.pdb,52.0,5.0,1.693096399307251,inf
1KTZ,interface_too_small_for_N,,,,,OTHER,src\bridging\generatedData\pdb_cache\1KTZ.pdb,82.0,106.0,2.809096336364746,1.6159884929656982
1LFD,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1LFD.pdb,87.0,167.0,1.764044165611267,1.4287608861923218
1LP9,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1LP9.pdb,384.0,431.0,1.1669119596481323,1.2878423929214478
1M9E,interface_too_small_for_N,,,,,OTHER,src\bridging\generatedData\pdb_cache\1M9E.pdb,164.0,135.0,1.160046100616455,2.039926290512085
1MAH,KEEP,323.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1MAH.pdb,533.0,61.0,1.0868074893951416,1.605053424835205
1MHP,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1MHP.pdb,431.0,184.0,1.2846266031265259,1.3383708000183105
1MI5,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1MI5.pdb,385.0,442.0,1.1398309469223022,1.2332632541656494
1MLC,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1MLC.pdb,432.0,129.0,1.2324976921081543,1.4469740390777588
1MQ8,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1MQ8.pdb,184.0,177.0,1.4444031715393066,1.425573706626892
1N8O,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1N8O.pdb,239.0,136.0,1.0179451704025269,1.473969578742981
1N8Z,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1N8Z.pdb,434.0,581.0,1.2972877025604248,1.405762791633606
1NCA,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1NCA.pdb,389.0,435.0,1.1945185661315918,1.1024106740951538
1NMB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.2885618209838867,1.255223035812378
1OGA,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1OGA.pdb,385.0,439.0,1.2549680471420288,1.2656797170639038
1OHZ,KEEP,338.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1OHZ.pdb,140.0,56.0,1.2386367321014404,1.8381104469299316
1P69,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1P69.pdb,185.0,124.0,1.2774488925933838,1.338628888130188
1P6A,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1P6A.pdb,185.0,124.0,1.2700276374816895,1.3521981239318848
1PPF,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1PPF.pdb,218.0,56.0,1.0356570482254028,1.6548242568969727
1QAB,KEEP,293.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1QAB.pdb,469.0,180.0,1.1915961503982544,1.359484314918518
1QSE,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1QSE.pdb,383.0,443.0,1.0755430459976196,1.2960360050201416
1R0R,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1R0R.pdb,274.0,51.0,1.0036919116973877,1.880415678024292
1REW,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1REW.pdb,206.0,86.0,1.0851582288742065,1.0954546928405762
1S0W,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1S0W.pdb,263.0,165.0,1.0356098413467407,1.0049718618392944
1S1Q,KEEP,293.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1S1Q.pdb,137.0,71.0,1.3285269737243652,1.5079216957092285
1SBB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SBB.pdb,238.0,239.0,1.4998400211334229,1.3418506383895874
1SBN,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SBN.pdb,275.0,63.0,1.0321869850158691,1.7793523073196411
1SGD,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGD.pdb,185.0,51.0,1.0757468938827515,1.8916547298431396
1SGE,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGE.pdb,185.0,51.0,1.078309178352356,1.8767975568771362
1SGN,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGN.pdb,185.0,51.0,1.0785815715789795,1.8930516242980957
1SGP,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGP.pdb,185.0,51.0,1.0764479637145996,1.8918761014938354
1SGQ,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGQ.pdb,185.0,51.0,1.0799150466918945,1.8751240968704224
1SGY,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGY.pdb,185.0,51.0,1.0820280313491821,1.888862133026123
1SIB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SIB.pdb,275.0,63.0,1.0264275074005127,1.7775416374206543
1SMF,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\1SMF.pdb,223.0,9.0,1.1583439111709595,inf
1TM1,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM1.pdb,281.0,64.0,0.9921684265136719,1.7553030252456665
1TM3,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM3.pdb,281.0,63.0,0.981503963470459,1.763780117034912
1TM4,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM4.pdb,281.0,63.0,0.982704222202301,1.7741426229476929
1TM5,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM5.pdb,281.0,63.0,0.9842814803123474,1.763390064239502
1TM7,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM7.pdb,281.0,64.0,1.004091501235962,1.7546406984329224
1TMG,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TMG.pdb,281.0,64.0,1.0049643516540527,1.7743531465530396
1TO1,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TO1.pdb,281.0,63.0,0.9903053045272827,1.777755856513977
1U7F,KEEP,310.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1U7F.pdb,193.0,390.0,0.8636503219604492,0.8793384432792664
1UUZ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1UUZ.pdb,129.0,129.0,1.2176088094711304,1.0490161180496216
1VFB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.2951500415802002,1.5009099245071411
1WQJ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1WQJ.pdb,62.0,80.0,1.5096334218978882,1.387338638305664
1X1W,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1X1W.pdb,108.0,90.0,1.2466249465942383,1.381116509437561
1X1X,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1X1X.pdb,110.0,89.0,1.2381970882415771,1.3490184545516968
1XD3,KEEP,305.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XD3.pdb,229.0,75.0,0.9811908602714539,1.5126419067382812
1XGP,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XGP.pdb,425.0,129.0,1.2071987390518188,1.3278461694717407
1XGQ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XGQ.pdb,425.0,129.0,1.1945853233337402,1.293486475944519
1XGR,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XGR.pdb,425.0,129.0,1.199857473373413,1.3326363563537598
1XGT,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XGT.pdb,425.0,129.0,1.1969629526138306,1.3203531503677368
1XGU,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XGU.pdb,424.0,129.0,1.197605848312378,1.2702242136001587
1XXM,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XXM.pdb,263.0,165.0,1.035685420036316,1.0197384357452393
1Y1K,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y1K.pdb,281.0,64.0,0.993129551410675,1.7854140996932983
1Y33,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y33.pdb,281.0,64.0,1.0004582405090332,1.7572005987167358
1Y34,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y34.pdb,281.0,64.0,0.9980353713035583,1.7533268928527832
1Y3B,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y3B.pdb,281.0,63.0,0.9977462887763977,1.767526388168335
1Y3C,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y3C.pdb,281.0,64.0,1.0048301219940186,1.7498753070831299
1Y3D,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y3D.pdb,281.0,64.0,1.0092098712921143,1.7623285055160522
1Y48,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y48.pdb,281.0,63.0,0.9843251705169678,1.7485136985778809
1Y4A,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y4A.pdb,275.0,63.0,0.9964224696159363,1.7621586322784424
1YCS,KEEP,293.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1YCS.pdb,191.0,193.0,1.3532094955444336,1.4387381076812744
1YQV,KEEP,283.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1YQV.pdb,426.0,129.0,1.1885470151901245,1.4288606643676758
1YY9,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1YY9.pdb,431.0,613.0,1.2347149848937988,1.1514785289764404
1Z7X,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Z7X.pdb,460.0,126.0,0.9526297450065613,1.0679937601089478
2A9K,KEEP,310.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2A9K.pdb,170.0,207.0,1.196002721786499,1.4337377548217773
2ABZ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2ABZ.pdb,301.0,60.0,1.0524022579193115,1.8332667350769043
2AJF,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2AJF.pdb,597.0,174.0,1.109468936920166,1.29583740234375
2AK4,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2AK4.pdb,388.0,445.0,1.2246216535568237,1.1609257459640503
2AW2,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2AW2.pdb,110.0,100.0,1.3402822017669678,1.3883341550827026
2B0U,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B0U.pdb,232.0,287.0,0.9626978635787964,0.9058636426925659
2B0Z,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B0Z.pdb,294.0,108.0,1.315313458442688,1.695104718208313
2B10,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B10.pdb,294.0,108.0,1.2422579526901245,1.4584068059921265
2B11,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B11.pdb,294.0,108.0,1.2394030094146729,1.4913544654846191
2B12,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B12.pdb,294.0,108.0,1.3362019062042236,1.7017465829849243
2B2X,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B2X.pdb,420.0,188.0,1.2342220544815063,1.2614871263504028
2B42,KEEP,295.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B42.pdb,364.0,184.0,0.9445489048957825,1.0470774173736572
2BDN,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2BDN.pdb,431.0,68.0,1.2182585000991821,1.4273179769515991
2BNQ,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2BNQ.pdb,385.0,444.0,1.0270700454711914,1.194229245185852
2BNR,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2BNR.pdb,385.0,444.0,1.0401725769042969,1.1934778690338135
2BTF,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2BTF.pdb,373.0,139.0,1.223854422569275,1.098505973815918
2C0L,KEEP,305.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2C0L.pdb,292.0,122.0,0.9325534701347351,1.485038161277771
2C5D,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2C5D.pdb,760.0,382.0,0.716415524482727,0.7568324208259583
2C5D,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2C5D.pdb,380.0,191.0,1.118698239326477,1.2690943479537964
2CCL,KEEP,338.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2CCL.pdb,149.0,62.0,1.2682836055755615,1.579086184501648
2DSQ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2DSQ.pdb,49.0,73.0,1.9511040449142456,1.295827865600586
2DVW,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2DVW.pdb,229.0,73.0,0.9827831387519836,1.3555749654769897
2E7L,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2E7L.pdb,184.0,224.0,1.1209441423416138,1.2373948097229004
2FTL,interface_too_small_for_N,,,,,OTHER,src\bridging\generatedData\pdb_cache\2FTL.pdb,222.0,57.0,1.080604076385498,2.2092361450195312
2G2U,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2G2U.pdb,265.0,165.0,1.013414978981018,1.0123411417007446
2G2W,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2G2W.pdb,265.0,164.0,1.0106561183929443,1.048880696296692
2GOX,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2GOX.pdb,297.0,65.0,1.231144666671753,1.2483465671539307
2GYK,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2GYK.pdb,83.0,130.0,1.3668872117996216,1.4951741695404053
2HLE,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2HLE.pdb,188.0,133.0,1.0279316902160645,1.250449299812317
2HRK,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2HRK.pdb,177.0,121.0,1.5318231582641602,1.344331979751587
2I26,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2I26.pdb,118.0,129.0,1.837503433227539,1.1089569330215454
2J0T,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2J0T.pdb,161.0,124.0,1.0780104398727417,1.3430933952331543
2J12,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2J12.pdb,182.0,120.0,1.1758025884628296,1.2257400751113892
2J1K,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2J1K.pdb,182.0,119.0,1.2291265726089478,1.228472113609314
2J8U,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2J8U.pdb,384.0,431.0,1.1671794652938843,1.2800476551055908
2JCC,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2JCC.pdb,384.0,431.0,1.1697211265563965,1.2852214574813843
2JEL,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2JEL.pdb,435.0,85.0,1.2701362371444702,1.4424241781234741
2KSO,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2KSO.pdb,65.0,59.0,1.922460675239563,1.9967567920684814
2NOJ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NOJ.pdb,277.0,58.0,1.2146772146224976,1.441218614578247
2NU0,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU0.pdb,185.0,51.0,1.0815012454986572,1.8740928173065186
2NU1,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU1.pdb,185.0,51.0,1.0899600982666016,1.888257622718811
2NU2,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU2.pdb,185.0,51.0,1.0749216079711914,1.8917937278747559
2NU4,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU4.pdb,185.0,51.0,1.0867501497268677,1.8879486322402954
2NY7,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NY7.pdb,445.0,290.0,1.2383297681808472,1.1641325950622559
2NYY,KEEP,296.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NYY.pdb,433.0,1267.0,1.2295435667037964,1.2191282510757446
2NZ9,KEEP,296.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NZ9.pdb,433.0,1267.0,1.2277894020080566,1.1979477405548096
2O3B,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2O3B.pdb,241.0,135.0,1.1142141819000244,1.5040568113327026
2OI9,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2OI9.pdb,184.0,221.0,1.1028681993484497,1.2303231954574585
2OOB,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\2OOB.pdb,44.0,72.0,inf,1.7487657070159912
2P5E,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2P5E.pdb,385.0,435.0,1.0719645023345947,1.1779783964157104
2PCB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2PCB.pdb,294.0,104.0,1.414963722229004,1.5538769960403442
2PCC,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2PCC.pdb,294.0,108.0,1.2588577270507812,1.530535340309143
2PYE,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2PYE.pdb,385.0,437.0,1.1100183725357056,1.2234477996826172
2QJ9,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2QJ9.pdb,207.0,86.0,1.0541338920593262,1.0940347909927368
2QJA,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2QJA.pdb,208.0,85.0,1.0748825073242188,1.1118112802505493
2QJB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2QJB.pdb,207.0,85.0,1.0807747840881348,1.125891923904419
2REX,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2REX.pdb,107.0,171.0,1.4400246143341064,1.4088574647903442
2SGP,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2SGP.pdb,185.0,51.0,1.090443730354309,1.8884317874908447
2SGQ,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2SGQ.pdb,185.0,51.0,1.0871453285217285,1.8764375448226929
