pdb,reason,ligand_len,receptor_len,size_source,subgroup,pdb_path,n_ca_ligand,n_ca_receptor,dN_ligand_nm,dN_receptor_nm
1DVF,KEEP,223.0,228.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DVF.pdb,223.0,228.0,1.4702345132827759,1.4811094999313354
1.00E+50,invalid_pdb_id,,,,OTHER,,,,,
1.00E+96,invalid_pdb_id,,,,OTHER,,,,,
1EAW,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1EAW.pdb,241.0,56.0,1.1639078855514526,inf
1EFN,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1EFN.pdb,57.0,104.0,inf,1.9828654527664185
1EMV,too_small_partner_len,83.0,131.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1EMV.pdb,83.0,131.0,1.967708706855774,1.7771488428115845
1F47,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1F47.pdb,17.0,144.0,inf,1.643322229385376
1F5R,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1F5R.pdb,216.0,57.0,1.3155298233032227,inf
1FC2,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1FC2.pdb,43.0,206.0,inf,1.6819607019424438
1FCC,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1FCC.pdb,206.0,56.0,1.707474708557129,inf
1FFW,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1FFW.pdb,128.0,68.0,1.800771951675415,2.22395396232605
1FR2,too_small_partner_len,83.0,131.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1FR2.pdb,83.0,131.0,1.9191136360168457,1.760096788406372
1FSS,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1FSS.pdb,532.0,61.0,1.213465929031372,inf
1FY8,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1FY8.pdb,215.0,56.0,1.3234703540802002,inf
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GCQ,too_small_partner_len,113.0,69.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GCQ.pdb,113.0,69.0,1.3136091232299805,1.7906473875045776
1GL0,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1GL0.pdb,241.0,32.0,1.1266989707946777,inf
1GL1,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1GL1.pdb,239.0,34.0,1.2001640796661377,inf
1GRN,too_small_partner_len,191.0,197.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GRN.pdb,191.0,197.0,1.4295849800109863,1.150901198387146
1GUA,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1GUA.pdb,167.0,76.0,1.6332906484603882,2.1603662967681885
1H9D,too_small_partner_len,125.0,125.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1H9D.pdb,125.0,125.0,1.391988754272461,1.3084489107131958
1HE8,too_small_partner_len,749.0,166.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1HE8.pdb,749.0,166.0,1.558848261833191,1.419182300567627
1IAR,too_small_partner_len,129.0,188.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1IAR.pdb,129.0,188.0,1.5335819721221924,1.8857425451278687
1JCK,KEEP,238.0,239.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1JCK.pdb,238.0,239.0,1.694985270500183,1.4759917259216309
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JTD,KEEP,262.0,273.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1JTD.pdb,262.0,273.0,1.3299249410629272,1.2227610349655151
1JTG,too_small_partner_len,262.0,165.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1JTG.pdb,262.0,165.0,1.1662909984588623,1.1656359434127808
1K8R,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1K8R.pdb,166.0,82.0,1.655288815498352,2.002692699432373
1KAC,too_small_partner_len,185.0,124.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1KAC.pdb,185.0,124.0,1.4742056131362915,1.6596754789352417
1KBH,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1KBH.pdb,47.0,59.0,inf,inf
1KIP,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1KIP.pdb,223.0,129.0,1.476666808128357,1.885138750076294
1KIQ,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1KIQ.pdb,223.0,129.0,1.4830909967422485,1.8838247060775757
1KIR,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1KIR.pdb,223.0,129.0,1.4577090740203857,1.875076413154602
1KNE,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1KNE.pdb,52.0,5.0,inf,inf
1KTZ,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1KTZ.pdb,82.0,106.0,3.81093692779541,1.9058107137680054
1LFD,too_small_partner_len,87.0,167.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1LFD.pdb,87.0,167.0,1.9720783233642578,1.6245698928833008
1LP9,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
1M9E,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1M9E.pdb,164.0,135.0,1.3432233333587646,2.5266735553741455
1MAH,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1MAH.pdb,533.0,61.0,1.2418535947799683,inf
1MHP,too_small_partner_len,431.0,184.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1MHP.pdb,431.0,184.0,1.4841876029968262,1.5997811555862427
1MI5,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
1MLC,too_small_partner_len,432.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1MLC.pdb,432.0,129.0,1.435555100440979,1.8727936744689941
1MQ8,too_small_partner_len,184.0,177.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1MQ8.pdb,184.0,177.0,1.642961025238037,1.7409557104110718
1N8O,too_small_partner_len,239.0,136.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1N8O.pdb,239.0,136.0,1.140685796737671,1.8244138956069946
1N8Z,KEEP,434.0,581.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1N8Z.pdb,434.0,581.0,1.4824719429016113,1.8093911409378052
1NCA,KEEP,389.0,435.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1NCA.pdb,389.0,435.0,1.338422179222107,1.2580443620681763
1NMB,KEEP,388.0,231.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.4029545783996582,1.4318511486053467
1OGA,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
1OHZ,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1OHZ.pdb,140.0,56.0,1.5280756950378418,inf
1P69,too_small_partner_len,185.0,124.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1P69.pdb,185.0,124.0,1.4829570055007935,1.6685367822647095
1P6A,too_small_partner_len,185.0,124.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1P6A.pdb,185.0,124.0,1.465722918510437,1.6677675247192383
1PPF,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1PPF.pdb,218.0,56.0,1.1948015689849854,inf
1QAB,too_small_partner_len,469.0,180.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1QAB.pdb,469.0,180.0,1.303847074508667,1.586320161819458
1QSE,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
1R0R,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1R0R.pdb,274.0,51.0,1.1387405395507812,inf
1REW,too_small_partner_len,206.0,86.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1REW.pdb,206.0,86.0,1.280344009399414,1.3189606666564941
1S0W,too_small_partner_len,263.0,165.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1S0W.pdb,263.0,165.0,1.1543577909469604,1.1683990955352783
1S1Q,too_small_partner_len,137.0,71.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1S1Q.pdb,137.0,71.0,1.7168923616409302,1.9084458351135254
1SBB,KEEP,238.0,239.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1SBB.pdb,238.0,239.0,1.8301376104354858,1.5639716386795044
1SBN,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1SBN.pdb,275.0,63.0,1.164008378982544,inf
1SGD,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGD.pdb,185.0,51.0,1.2665423154830933,inf
1SGE,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGE.pdb,185.0,51.0,1.2665921449661255,inf
1SGN,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGN.pdb,185.0,51.0,1.2704299688339233,inf
1SGP,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGP.pdb,185.0,51.0,1.2691878080368042,inf
1SGQ,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGQ.pdb,185.0,51.0,1.2721141576766968,inf
1SGY,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGY.pdb,185.0,51.0,1.268796443939209,inf
1SIB,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1SIB.pdb,275.0,63.0,1.1575506925582886,inf
1SMF,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1SMF.pdb,223.0,9.0,1.2756916284561157,inf
1TM1,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM1.pdb,281.0,64.0,1.1092866659164429,2.304157257080078
1TM3,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM3.pdb,281.0,63.0,1.1203365325927734,inf
1TM4,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM4.pdb,281.0,63.0,1.1054517030715942,inf
1TM5,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM5.pdb,281.0,63.0,1.1027381420135498,inf
1TM7,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM7.pdb,281.0,64.0,1.106803297996521,2.2978553771972656
1TMG,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1TMG.pdb,281.0,64.0,1.1073640584945679,2.312023162841797
1TO1,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1TO1.pdb,281.0,63.0,1.113376498222351,inf
1U7F,too_small_partner_len,193.0,390.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1U7F.pdb,193.0,390.0,0.9451494216918945,0.9461446404457092
1UUZ,too_small_partner_len,129.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1UUZ.pdb,129.0,129.0,1.4710822105407715,1.2687984704971313
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1WQJ,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1WQJ.pdb,62.0,80.0,inf,1.6978517770767212
1X1W,too_small_partner_len,108.0,90.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1X1W.pdb,108.0,90.0,1.4758234024047852,1.6759017705917358
1X1X,too_small_partner_len,110.0,89.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1X1X.pdb,110.0,89.0,1.483239769935608,1.6725451946258545
1XD3,too_small_partner_len,229.0,75.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1XD3.pdb,229.0,75.0,1.0873596668243408,1.9877738952636719
1XGP,too_small_partner_len,425.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1XGP.pdb,425.0,129.0,1.3884812593460083,1.5839277505874634
1XGQ,too_small_partner_len,425.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1XGQ.pdb,425.0,129.0,1.3578133583068848,1.5674375295639038
1XGR,too_small_partner_len,425.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1XGR.pdb,425.0,129.0,1.3768038749694824,1.5824817419052124
1XGT,too_small_partner_len,425.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1XGT.pdb,425.0,129.0,1.3727538585662842,1.5850458145141602
1XGU,too_small_partner_len,424.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1XGU.pdb,424.0,129.0,1.376047134399414,1.5428112745285034
1XXM,too_small_partner_len,263.0,165.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1XXM.pdb,263.0,165.0,1.1747839450836182,1.1610532999038696
1Y1K,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y1K.pdb,281.0,64.0,1.1139627695083618,2.3042361736297607
1Y33,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y33.pdb,281.0,64.0,1.1139023303985596,2.308492660522461
1Y34,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y34.pdb,281.0,64.0,1.1160023212432861,2.304490566253662
1Y3B,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y3B.pdb,281.0,63.0,1.1072105169296265,inf
1Y3C,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y3C.pdb,281.0,64.0,1.1073524951934814,2.309488296508789
1Y3D,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y3D.pdb,281.0,64.0,1.1108510494232178,2.328585386276245
1Y48,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y48.pdb,281.0,63.0,1.11504328250885,inf
1Y4A,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y4A.pdb,275.0,63.0,1.1013176441192627,inf
1YCS,too_small_partner_len,191.0,193.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1YCS.pdb,191.0,193.0,1.5217779874801636,1.6692866086959839
1YQV,too_small_partner_len,426.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1YQV.pdb,426.0,129.0,1.3727729320526123,1.771652340888977
1YY9,KEEP,431.0,613.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1YY9.pdb,431.0,613.0,1.384177565574646,1.3360239267349243
1Z7X,too_small_partner_len,460.0,126.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1Z7X.pdb,460.0,126.0,1.0538140535354614,1.2301076650619507
2A9K,too_small_partner_len,170.0,207.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2A9K.pdb,170.0,207.0,1.433549404144287,1.6768227815628052
2ABZ,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2ABZ.pdb,301.0,60.0,1.208377718925476,inf
2AJF,too_small_partner_len,597.0,174.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2AJF.pdb,597.0,174.0,1.3243612051010132,1.4930133819580078
2AK4,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
2AW2,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\2AW2.pdb,110.0,100.0,1.6621296405792236,2.1318562030792236
2B0U,KEEP,232.0,287.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2B0U.pdb,232.0,287.0,1.0684263706207275,0.990815281867981
2B0Z,too_small_partner_len,294.0,108.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2B0Z.pdb,294.0,108.0,1.5523414611816406,1.9920936822891235
2B10,too_small_partner_len,294.0,108.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2B10.pdb,294.0,108.0,1.4497919082641602,1.752002477645874
2B11,too_small_partner_len,294.0,108.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2B11.pdb,294.0,108.0,1.4490854740142822,1.7445136308670044
2B12,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\2B12.pdb,294.0,108.0,1.573205590248108,2.0238349437713623
2B2X,too_small_partner_len,420.0,188.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2B2X.pdb,420.0,188.0,1.4159573316574097,1.5478423833847046
2B42,too_small_partner_len,364.0,184.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2B42.pdb,364.0,184.0,1.0452204942703247,1.2071696519851685
2BDN,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\2BDN.pdb,431.0,68.0,1.3134361505508423,2.102476119995117
2BNQ,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
2BNR,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
2BTF,too_small_partner_len,373.0,139.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2BTF.pdb,373.0,139.0,1.389841914176941,1.3694769144058228
2C0L,too_small_partner_len,292.0,122.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2C0L.pdb,292.0,122.0,1.04514479637146,1.6978565454483032
2C5D,KEEP,760.0,382.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2C5D.pdb,760.0,382.0,0.8183635473251343,0.8969866633415222
2C5D,too_small_partner_len,380.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2C5D.pdb,380.0,191.0,1.2899852991104126,1.569719672203064
2CCL,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2CCL.pdb,149.0,62.0,1.5322844982147217,inf
2DSQ,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2DSQ.pdb,49.0,73.0,inf,1.5960615873336792
2DVW,too_small_partner_len,229.0,73.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2DVW.pdb,229.0,73.0,1.075294852256775,1.787654995918274
2E7L,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
2FTL,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2FTL.pdb,222.0,57.0,1.2215991020202637,inf
2G2U,too_small_partner_len,265.0,165.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2G2U.pdb,265.0,165.0,1.1538355350494385,1.158063292503357
2G2W,too_small_partner_len,265.0,164.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2G2W.pdb,265.0,164.0,1.1183116436004639,1.1709576845169067
2GOX,too_small_partner_len,297.0,65.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2GOX.pdb,297.0,65.0,1.4869543313980103,1.6258465051651
2GYK,too_small_partner_len,83.0,130.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2GYK.pdb,83.0,130.0,1.974553108215332,1.8274221420288086
2HLE,too_small_partner_len,188.0,133.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2HLE.pdb,188.0,133.0,1.2099295854568481,1.4976558685302734
2HRK,too_small_partner_len,177.0,121.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2HRK.pdb,177.0,121.0,1.7711430788040161,1.521078109741211
2I26,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\2I26.pdb,118.0,129.0,2.218021869659424,1.3676612377166748
2J0T,too_small_partner_len,161.0,124.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2J0T.pdb,161.0,124.0,1.310698390007019,1.6549137830734253
2J12,too_small_partner_len,182.0,120.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2J12.pdb,182.0,120.0,1.4426844120025635,1.578568458557129
2J1K,too_small_partner_len,182.0,119.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2J1K.pdb,182.0,119.0,1.432091236114502,1.5558702945709229
2J8U,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
2JCC,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
2JEL,too_small_partner_len,435.0,85.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2JEL.pdb,435.0,85.0,1.559288740158081,1.7751741409301758
2KSO,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2KSO.pdb,65.0,59.0,2.3981900215148926,inf
2NOJ,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2NOJ.pdb,277.0,58.0,1.4789422750473022,inf
2NU0,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU0.pdb,185.0,51.0,1.2549728155136108,inf
2NU1,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU1.pdb,185.0,51.0,1.2705440521240234,inf
2NU2,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU2.pdb,185.0,51.0,1.2666910886764526,inf
2NU4,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU4.pdb,185.0,51.0,1.2712109088897705,inf
2NY7,KEEP,445.0,290.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2NY7.pdb,445.0,290.0,1.4207135438919067,1.262607455253601
2NYY,KEEP,433.0,1267.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2NYY.pdb,433.0,1267.0,1.4437369108200073,1.405649185180664
2NZ9,KEEP,433.0,1267.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2NZ9.pdb,433.0,1267.0,1.4255727529525757,1.3973358869552612
2O3B,too_small_partner_len,241.0,135.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2O3B.pdb,241.0,135.0,1.3468363285064697,1.7672467231750488
2OI9,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
2OOB,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2OOB.pdb,44.0,72.0,inf,2.0510571002960205
2P5E,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
2PCB,too_small_partner_len,294.0,104.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2PCB.pdb,294.0,104.0,1.6487946510314941,1.8845089673995972
2PCC,too_small_partner_len,294.0,108.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2PCC.pdb,294.0,108.0,1.457970380783081,1.7549421787261963
2PYE,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
2QJ9,too_small_partner_len,207.0,86.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2QJ9.pdb,207.0,86.0,1.2754706144332886,1.3488495349884033
2QJA,too_small_partner_len,208.0,85.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2QJA.pdb,208.0,85.0,1.2855778932571411,1.3632768392562866
2QJB,too_small_partner_len,207.0,85.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2QJB.pdb,207.0,85.0,1.2837913036346436,1.3536063432693481
2REX,too_small_partner_len,107.0,171.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\2REX.pdb,107.0,171.0,1.7594828605651855,1.628794550895691
2SGP,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\2SGP.pdb,185.0,51.0,1.2585309743881226,inf
