size_key,pdb_id,ligand_chains,receptor_chains,subgroup,pdb_path,ligand_modeled_residues,receptor_modeled_residues,ligand_seq_len,receptor_seq_len,rcsb_status,status
"1CHO|E,F,G|I",1CHO,"E,F,G",I,OTHER,src\bridging\generatedData\pdb_cache\1CHO.pdb,238.0,53.0,,,skipped,ok
1CSE|E|I,1CSE,E,I,OTHER,src\bridging\generatedData\pdb_cache\1CSE.pdb,274.0,63.0,,,skipped,ok
1CSO|E|I,1CSO,E,I,OTHER,src\bridging\generatedData\pdb_cache\1CSO.pdb,185.0,51.0,,,skipped,ok
1CT0|E|I,1CT0,E,I,OTHER,src\bridging\generatedData\pdb_cache\1CT0.pdb,185.0,51.0,,,skipped,ok
1CT2|E|I,1CT2,E,I,OTHER,src\bridging\generatedData\pdb_cache\1CT2.pdb,185.0,51.0,,,skipped,ok
1CT4|E|I,1CT4,E,I,OTHER,src\bridging\generatedData\pdb_cache\1CT4.pdb,185.0,51.0,,,skipped,ok
"1CZ8|H,L|V,W",1CZ8,"H,L","V,W",OTHER,src\bridging\generatedData\pdb_cache\1CZ8.pdb,431.0,188.0,,,skipped,ok
"1DAN|H,L|T,U",1DAN,"H,L","T,U",OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,,,skipped,ok
"1DQJ|A,B|C",1DQJ,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1DQJ.pdb,424.0,129.0,,,skipped,ok
"1DVF|A,B|C,D",1DVF,"A,B","C,D",OTHER,src\bridging\generatedData\pdb_cache\1DVF.pdb,223.0,228.0,,,skipped,ok
1EAW|A|B,1EAW,A,B,OTHER,src\bridging\generatedData\pdb_cache\1EAW.pdb,241.0,56.0,,,skipped,ok
1EFN|A|B,1EFN,A,B,OTHER,src\bridging\generatedData\pdb_cache\1EFN.pdb,57.0,104.0,,,skipped,ok
1EMV|A|B,1EMV,A,B,OTHER,src\bridging\generatedData\pdb_cache\1EMV.pdb,83.0,131.0,,,skipped,ok
1F47|A|B,1F47,A,B,OTHER,src\bridging\generatedData\pdb_cache\1F47.pdb,17.0,144.0,,,skipped,ok
1F5R|A|I,1F5R,A,I,OTHER,src\bridging\generatedData\pdb_cache\1F5R.pdb,216.0,57.0,,,skipped,ok
1FC2|C|D,1FC2,C,D,OTHER,src\bridging\generatedData\pdb_cache\1FC2.pdb,43.0,206.0,,,skipped,ok
1FCC|A|C,1FCC,A,C,OTHER,src\bridging\generatedData\pdb_cache\1FCC.pdb,206.0,56.0,,,skipped,ok
1FFW|A|B,1FFW,A,B,OTHER,src\bridging\generatedData\pdb_cache\1FFW.pdb,128.0,68.0,,,skipped,ok
1FR2|A|B,1FR2,A,B,OTHER,src\bridging\generatedData\pdb_cache\1FR2.pdb,83.0,131.0,,,skipped,ok
1FSS|A|B,1FSS,A,B,OTHER,src\bridging\generatedData\pdb_cache\1FSS.pdb,532.0,61.0,,,skipped,ok
1FY8|E|I,1FY8,E,I,OTHER,src\bridging\generatedData\pdb_cache\1FY8.pdb,215.0,56.0,,,skipped,ok
1GC1|G|C,1GC1,G,C,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,,,skipped,ok
"1GCQ|A,B|C",1GCQ,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1GCQ.pdb,113.0,69.0,,,skipped,ok
1GL0|E|I,1GL0,E,I,OTHER,src\bridging\generatedData\pdb_cache\1GL0.pdb,241.0,32.0,,,skipped,ok
1GL1|A|I,1GL1,A,I,OTHER,src\bridging\generatedData\pdb_cache\1GL1.pdb,239.0,34.0,,,skipped,ok
1GRN|A|B,1GRN,A,B,OTHER,src\bridging\generatedData\pdb_cache\1GRN.pdb,191.0,197.0,,,skipped,ok
1GUA|A|B,1GUA,A,B,OTHER,src\bridging\generatedData\pdb_cache\1GUA.pdb,167.0,76.0,,,skipped,ok
1H9D|A|B,1H9D,A,B,OTHER,src\bridging\generatedData\pdb_cache\1H9D.pdb,125.0,125.0,,,skipped,ok
1HE8|A|B,1HE8,A,B,OTHER,src\bridging\generatedData\pdb_cache\1HE8.pdb,749.0,166.0,,,skipped,ok
1IAR|A|B,1IAR,A,B,OTHER,src\bridging\generatedData\pdb_cache\1IAR.pdb,129.0,188.0,,,skipped,ok
1JCK|A|B,1JCK,A,B,OTHER,src\bridging\generatedData\pdb_cache\1JCK.pdb,238.0,239.0,,,skipped,ok
"1JRH|H,L|I",1JRH,"H,L",I,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,,,skipped,ok
1JTD|A|B,1JTD,A,B,OTHER,src\bridging\generatedData\pdb_cache\1JTD.pdb,262.0,273.0,,,skipped,ok
1JTG|A|B,1JTG,A,B,OTHER,src\bridging\generatedData\pdb_cache\1JTG.pdb,262.0,165.0,,,skipped,ok
1K8R|A|B,1K8R,A,B,OTHER,src\bridging\generatedData\pdb_cache\1K8R.pdb,166.0,82.0,,,skipped,ok
1KAC|A|B,1KAC,A,B,OTHER,src\bridging\generatedData\pdb_cache\1KAC.pdb,185.0,124.0,,,skipped,ok
1KBH|A|B,1KBH,A,B,OTHER,src\bridging\generatedData\pdb_cache\1KBH.pdb,47.0,59.0,,,skipped,ok
"1KIP|A,B|C",1KIP,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1KIP.pdb,223.0,129.0,,,skipped,ok
"1KIQ|A,B|C",1KIQ,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1KIQ.pdb,223.0,129.0,,,skipped,ok
"1KIR|A,B|C",1KIR,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1KIR.pdb,223.0,129.0,,,skipped,ok
1KNE|A|P,1KNE,A,P,OTHER,src\bridging\generatedData\pdb_cache\1KNE.pdb,52.0,5.0,,,skipped,ok
1KTZ|A|B,1KTZ,A,B,OTHER,src\bridging\generatedData\pdb_cache\1KTZ.pdb,82.0,106.0,,,skipped,ok
1LFD|A|B,1LFD,A,B,OTHER,src\bridging\generatedData\pdb_cache\1LFD.pdb,87.0,167.0,,,skipped,ok
"1LP9|A,B,C|E,F",1LP9,"A,B,C","E,F",TCR-pMHC,src\bridging\generatedData\pdb_cache\1LP9.pdb,384.0,431.0,,,skipped,ok
1M9E|A|D,1M9E,A,D,OTHER,src\bridging\generatedData\pdb_cache\1M9E.pdb,164.0,135.0,,,skipped,ok
1MAH|A|F,1MAH,A,F,OTHER,src\bridging\generatedData\pdb_cache\1MAH.pdb,533.0,61.0,,,skipped,ok
"1MHP|H,L|A",1MHP,"H,L",A,OTHER,src\bridging\generatedData\pdb_cache\1MHP.pdb,431.0,184.0,,,skipped,ok
"1MI5|A,B,C|D,E",1MI5,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\1MI5.pdb,385.0,442.0,,,skipped,ok
"1MLC|A,B|E",1MLC,"A,B",E,OTHER,src\bridging\generatedData\pdb_cache\1MLC.pdb,432.0,129.0,,,skipped,ok
1MQ8|A|B,1MQ8,A,B,OTHER,src\bridging\generatedData\pdb_cache\1MQ8.pdb,184.0,177.0,,,skipped,ok
"1N8O|A,B,C|E",1N8O,"A,B,C",E,OTHER,src\bridging\generatedData\pdb_cache\1N8O.pdb,239.0,136.0,,,skipped,ok
"1N8Z|A,B|C",1N8Z,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1N8Z.pdb,434.0,581.0,,,skipped,ok
"1NCA|N|H,L",1NCA,N,"H,L",OTHER,src\bridging\generatedData\pdb_cache\1NCA.pdb,389.0,435.0,,,skipped,ok
"1NMB|N|H,L",1NMB,N,"H,L",OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,,,skipped,ok
"1OGA|A,B,C|D,E",1OGA,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\1OGA.pdb,385.0,439.0,,,skipped,ok
1OHZ|A|B,1OHZ,A,B,OTHER,src\bridging\generatedData\pdb_cache\1OHZ.pdb,140.0,56.0,,,skipped,ok
1P69|A|B,1P69,A,B,OTHER,src\bridging\generatedData\pdb_cache\1P69.pdb,185.0,124.0,,,skipped,ok
1P6A|A|B,1P6A,A,B,OTHER,src\bridging\generatedData\pdb_cache\1P6A.pdb,185.0,124.0,,,skipped,ok
1PPF|E|I,1PPF,E,I,OTHER,src\bridging\generatedData\pdb_cache\1PPF.pdb,218.0,56.0,,,skipped,ok
"1QAB|A,B,C,D|E",1QAB,"A,B,C,D",E,OTHER,src\bridging\generatedData\pdb_cache\1QAB.pdb,469.0,180.0,,,skipped,ok
"1QSE|A,B,C|D,E",1QSE,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\1QSE.pdb,383.0,443.0,,,skipped,ok
1R0R|E|I,1R0R,E,I,OTHER,src\bridging\generatedData\pdb_cache\1R0R.pdb,274.0,51.0,,,skipped,ok
"1REW|A,B|C",1REW,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1REW.pdb,206.0,86.0,,,skipped,ok
1S0W|A|C,1S0W,A,C,OTHER,src\bridging\generatedData\pdb_cache\1S0W.pdb,263.0,165.0,,,skipped,ok
1S1Q|A|B,1S1Q,A,B,OTHER,src\bridging\generatedData\pdb_cache\1S1Q.pdb,137.0,71.0,,,skipped,ok
1SBB|A|B,1SBB,A,B,OTHER,src\bridging\generatedData\pdb_cache\1SBB.pdb,238.0,239.0,,,skipped,ok
1SBN|E|I,1SBN,E,I,OTHER,src\bridging\generatedData\pdb_cache\1SBN.pdb,275.0,63.0,,,skipped,ok
1SGD|E|I,1SGD,E,I,OTHER,src\bridging\generatedData\pdb_cache\1SGD.pdb,185.0,51.0,,,skipped,ok
1SGE|E|I,1SGE,E,I,OTHER,src\bridging\generatedData\pdb_cache\1SGE.pdb,185.0,51.0,,,skipped,ok
1SGN|E|I,1SGN,E,I,OTHER,src\bridging\generatedData\pdb_cache\1SGN.pdb,185.0,51.0,,,skipped,ok
1SGP|E|I,1SGP,E,I,OTHER,src\bridging\generatedData\pdb_cache\1SGP.pdb,185.0,51.0,,,skipped,ok
1SGQ|E|I,1SGQ,E,I,OTHER,src\bridging\generatedData\pdb_cache\1SGQ.pdb,185.0,51.0,,,skipped,ok
1SGY|E|I,1SGY,E,I,OTHER,src\bridging\generatedData\pdb_cache\1SGY.pdb,185.0,51.0,,,skipped,ok
1SIB|E|I,1SIB,E,I,OTHER,src\bridging\generatedData\pdb_cache\1SIB.pdb,275.0,63.0,,,skipped,ok
1SMF|E|I,1SMF,E,I,OTHER,src\bridging\generatedData\pdb_cache\1SMF.pdb,223.0,9.0,,,skipped,ok
1TM1|E|I,1TM1,E,I,OTHER,src\bridging\generatedData\pdb_cache\1TM1.pdb,281.0,64.0,,,skipped,ok
1TM3|E|I,1TM3,E,I,OTHER,src\bridging\generatedData\pdb_cache\1TM3.pdb,281.0,63.0,,,skipped,ok
1TM4|E|I,1TM4,E,I,OTHER,src\bridging\generatedData\pdb_cache\1TM4.pdb,281.0,63.0,,,skipped,ok
1TM5|E|I,1TM5,E,I,OTHER,src\bridging\generatedData\pdb_cache\1TM5.pdb,281.0,63.0,,,skipped,ok
1TM7|E|I,1TM7,E,I,OTHER,src\bridging\generatedData\pdb_cache\1TM7.pdb,281.0,64.0,,,skipped,ok
1TMG|E|I,1TMG,E,I,OTHER,src\bridging\generatedData\pdb_cache\1TMG.pdb,281.0,64.0,,,skipped,ok
1TO1|E|I,1TO1,E,I,OTHER,src\bridging\generatedData\pdb_cache\1TO1.pdb,281.0,63.0,,,skipped,ok
"1U7F|B|A,C",1U7F,B,"A,C",OTHER,src\bridging\generatedData\pdb_cache\1U7F.pdb,193.0,390.0,,,skipped,ok
1UUZ|A|D,1UUZ,A,D,OTHER,src\bridging\generatedData\pdb_cache\1UUZ.pdb,129.0,129.0,,,skipped,ok
"1VFB|A,B|C",1VFB,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,,,skipped,ok
1WQJ|I|B,1WQJ,I,B,OTHER,src\bridging\generatedData\pdb_cache\1WQJ.pdb,62.0,80.0,,,skipped,ok
1X1W|A|D,1X1W,A,D,OTHER,src\bridging\generatedData\pdb_cache\1X1W.pdb,108.0,90.0,,,skipped,ok
1X1X|A|D,1X1X,A,D,OTHER,src\bridging\generatedData\pdb_cache\1X1X.pdb,110.0,89.0,,,skipped,ok
1XD3|A|B,1XD3,A,B,OTHER,src\bridging\generatedData\pdb_cache\1XD3.pdb,229.0,75.0,,,skipped,ok
"1XGP|A,B|C",1XGP,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1XGP.pdb,425.0,129.0,,,skipped,ok
"1XGQ|A,B|C",1XGQ,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1XGQ.pdb,425.0,129.0,,,skipped,ok
"1XGR|A,B|C",1XGR,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1XGR.pdb,425.0,129.0,,,skipped,ok
"1XGT|A,B|C",1XGT,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1XGT.pdb,425.0,129.0,,,skipped,ok
"1XGU|A,B|C",1XGU,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1XGU.pdb,424.0,129.0,,,skipped,ok
1XXM|A|C,1XXM,A,C,OTHER,src\bridging\generatedData\pdb_cache\1XXM.pdb,263.0,165.0,,,skipped,ok
1Y1K|E|I,1Y1K,E,I,OTHER,src\bridging\generatedData\pdb_cache\1Y1K.pdb,281.0,64.0,,,skipped,ok
1Y33|E|I,1Y33,E,I,OTHER,src\bridging\generatedData\pdb_cache\1Y33.pdb,281.0,64.0,,,skipped,ok
1Y34|E|I,1Y34,E,I,OTHER,src\bridging\generatedData\pdb_cache\1Y34.pdb,281.0,64.0,,,skipped,ok
1Y3B|E|I,1Y3B,E,I,OTHER,src\bridging\generatedData\pdb_cache\1Y3B.pdb,281.0,63.0,,,skipped,ok
1Y3C|E|I,1Y3C,E,I,OTHER,src\bridging\generatedData\pdb_cache\1Y3C.pdb,281.0,64.0,,,skipped,ok
1Y3D|E|I,1Y3D,E,I,OTHER,src\bridging\generatedData\pdb_cache\1Y3D.pdb,281.0,64.0,,,skipped,ok
1Y48|E|I,1Y48,E,I,OTHER,src\bridging\generatedData\pdb_cache\1Y48.pdb,281.0,63.0,,,skipped,ok
1Y4A|E|I,1Y4A,E,I,OTHER,src\bridging\generatedData\pdb_cache\1Y4A.pdb,275.0,63.0,,,skipped,ok
1YCS|A|B,1YCS,A,B,OTHER,src\bridging\generatedData\pdb_cache\1YCS.pdb,191.0,193.0,,,skipped,ok
"1YQV|H,L|Y",1YQV,"H,L",Y,OTHER,src\bridging\generatedData\pdb_cache\1YQV.pdb,426.0,129.0,,,skipped,ok
"1YY9|C,D|A",1YY9,"C,D",A,OTHER,src\bridging\generatedData\pdb_cache\1YY9.pdb,431.0,613.0,,,skipped,ok
1Z7X|W|X,1Z7X,W,X,OTHER,src\bridging\generatedData\pdb_cache\1Z7X.pdb,460.0,126.0,,,skipped,ok
2A9K|A|B,2A9K,A,B,OTHER,src\bridging\generatedData\pdb_cache\2A9K.pdb,170.0,207.0,,,skipped,ok
2ABZ|B|E,2ABZ,B,E,OTHER,src\bridging\generatedData\pdb_cache\2ABZ.pdb,301.0,60.0,,,skipped,ok
2AJF|A|E,2AJF,A,E,OTHER,src\bridging\generatedData\pdb_cache\2AJF.pdb,597.0,174.0,,,skipped,ok
"2AK4|A,B,C|D,E",2AK4,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\2AK4.pdb,388.0,445.0,,,skipped,ok
2AW2|A|B,2AW2,A,B,OTHER,src\bridging\generatedData\pdb_cache\2AW2.pdb,110.0,100.0,,,skipped,ok
"2B0U|A,B|C",2B0U,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\2B0U.pdb,232.0,287.0,,,skipped,ok
2B0Z|A|B,2B0Z,A,B,OTHER,src\bridging\generatedData\pdb_cache\2B0Z.pdb,294.0,108.0,,,skipped,ok
2B10|A|B,2B10,A,B,OTHER,src\bridging\generatedData\pdb_cache\2B10.pdb,294.0,108.0,,,skipped,ok
2B11|A|B,2B11,A,B,OTHER,src\bridging\generatedData\pdb_cache\2B11.pdb,294.0,108.0,,,skipped,ok
2B12|A|B,2B12,A,B,OTHER,src\bridging\generatedData\pdb_cache\2B12.pdb,294.0,108.0,,,skipped,ok
"2B2X|H,L|A",2B2X,"H,L",A,OTHER,src\bridging\generatedData\pdb_cache\2B2X.pdb,420.0,188.0,,,skipped,ok
2B42|A|B,2B42,A,B,OTHER,src\bridging\generatedData\pdb_cache\2B42.pdb,364.0,184.0,,,skipped,ok
"2BDN|H,L|A",2BDN,"H,L",A,OTHER,src\bridging\generatedData\pdb_cache\2BDN.pdb,431.0,68.0,,,skipped,ok
"2BNQ|A,B,C|D,E",2BNQ,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\2BNQ.pdb,385.0,444.0,,,skipped,ok
"2BNR|A,B,C|D,E",2BNR,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\2BNR.pdb,385.0,444.0,,,skipped,ok
2BTF|A|P,2BTF,A,P,OTHER,src\bridging\generatedData\pdb_cache\2BTF.pdb,373.0,139.0,,,skipped,ok
2C0L|A|B,2C0L,A,B,OTHER,src\bridging\generatedData\pdb_cache\2C0L.pdb,292.0,122.0,,,skipped,ok
"2C5D|A,B|C,D",2C5D,"A,B","C,D",OTHER,src\bridging\generatedData\pdb_cache\2C5D.pdb,760.0,382.0,,,skipped,ok
2C5D|A|C,2C5D,A,C,OTHER,src\bridging\generatedData\pdb_cache\2C5D.pdb,380.0,191.0,,,skipped,ok
2CCL|A|B,2CCL,A,B,OTHER,src\bridging\generatedData\pdb_cache\2CCL.pdb,149.0,62.0,,,skipped,ok
2DSQ|I|G,2DSQ,I,G,OTHER,src\bridging\generatedData\pdb_cache\2DSQ.pdb,49.0,73.0,,,skipped,ok
2DVW|A|B,2DVW,A,B,OTHER,src\bridging\generatedData\pdb_cache\2DVW.pdb,229.0,73.0,,,skipped,ok
"2E7L|E,Q|A,D",2E7L,"E,Q","A,D",TCR-pMHC,src\bridging\generatedData\pdb_cache\2E7L.pdb,184.0,224.0,,,skipped,ok
2FTL|E|I,2FTL,E,I,OTHER,src\bridging\generatedData\pdb_cache\2FTL.pdb,222.0,57.0,,,skipped,ok
2G2U|A|B,2G2U,A,B,OTHER,src\bridging\generatedData\pdb_cache\2G2U.pdb,265.0,165.0,,,skipped,ok
2G2W|A|B,2G2W,A,B,OTHER,src\bridging\generatedData\pdb_cache\2G2W.pdb,265.0,164.0,,,skipped,ok
2GOX|A|B,2GOX,A,B,OTHER,src\bridging\generatedData\pdb_cache\2GOX.pdb,297.0,65.0,,,skipped,ok
2GYK|A|B,2GYK,A,B,OTHER,src\bridging\generatedData\pdb_cache\2GYK.pdb,83.0,130.0,,,skipped,ok
2HLE|A|B,2HLE,A,B,OTHER,src\bridging\generatedData\pdb_cache\2HLE.pdb,188.0,133.0,,,skipped,ok
2HRK|A|B,2HRK,A,B,OTHER,src\bridging\generatedData\pdb_cache\2HRK.pdb,177.0,121.0,,,skipped,ok
2I26|N|L,2I26,N,L,OTHER,src\bridging\generatedData\pdb_cache\2I26.pdb,118.0,129.0,,,skipped,ok
2J0T|A|D,2J0T,A,D,OTHER,src\bridging\generatedData\pdb_cache\2J0T.pdb,161.0,124.0,,,skipped,ok
2J12|A|B,2J12,A,B,OTHER,src\bridging\generatedData\pdb_cache\2J12.pdb,182.0,120.0,,,skipped,ok
2J1K|C|T,2J1K,C,T,OTHER,src\bridging\generatedData\pdb_cache\2J1K.pdb,182.0,119.0,,,skipped,ok
"2J8U|A,B,C|E,F",2J8U,"A,B,C","E,F",TCR-pMHC,src\bridging\generatedData\pdb_cache\2J8U.pdb,384.0,431.0,,,skipped,ok
"2JCC|A,B,C|E,F",2JCC,"A,B,C","E,F",TCR-pMHC,src\bridging\generatedData\pdb_cache\2JCC.pdb,384.0,431.0,,,skipped,ok
"2JEL|H,L|P",2JEL,"H,L",P,OTHER,src\bridging\generatedData\pdb_cache\2JEL.pdb,435.0,85.0,,,skipped,ok
2KSO|A|B,2KSO,A,B,OTHER,src\bridging\generatedData\pdb_cache\2KSO.pdb,65.0,59.0,,,skipped,ok
2NOJ|A|B,2NOJ,A,B,OTHER,src\bridging\generatedData\pdb_cache\2NOJ.pdb,277.0,58.0,,,skipped,ok
2NU0|E|I,2NU0,E,I,OTHER,src\bridging\generatedData\pdb_cache\2NU0.pdb,185.0,51.0,,,skipped,ok
2NU1|E|I,2NU1,E,I,OTHER,src\bridging\generatedData\pdb_cache\2NU1.pdb,185.0,51.0,,,skipped,ok
2NU2|E|I,2NU2,E,I,OTHER,src\bridging\generatedData\pdb_cache\2NU2.pdb,185.0,51.0,,,skipped,ok
2NU4|E|I,2NU4,E,I,OTHER,src\bridging\generatedData\pdb_cache\2NU4.pdb,185.0,51.0,,,skipped,ok
"2NY7|H,L|G",2NY7,"H,L",G,OTHER,src\bridging\generatedData\pdb_cache\2NY7.pdb,445.0,290.0,,,skipped,ok
"2NYY|C,D|A",2NYY,"C,D",A,OTHER,src\bridging\generatedData\pdb_cache\2NYY.pdb,433.0,1267.0,,,skipped,ok
"2NZ9|C,D|A",2NZ9,"C,D",A,OTHER,src\bridging\generatedData\pdb_cache\2NZ9.pdb,433.0,1267.0,,,skipped,ok
2O3B|A|B,2O3B,A,B,OTHER,src\bridging\generatedData\pdb_cache\2O3B.pdb,241.0,135.0,,,skipped,ok
"2OI9|A,Q|B,C",2OI9,"A,Q","B,C",TCR-pMHC,src\bridging\generatedData\pdb_cache\2OI9.pdb,184.0,221.0,,,skipped,ok
2OOB|A|B,2OOB,A,B,OTHER,src\bridging\generatedData\pdb_cache\2OOB.pdb,44.0,72.0,,,skipped,ok
"2P5E|A,B,C|D,E",2P5E,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\2P5E.pdb,385.0,435.0,,,skipped,ok
2PCB|A|B,2PCB,A,B,OTHER,src\bridging\generatedData\pdb_cache\2PCB.pdb,294.0,104.0,,,skipped,ok
2PCC|A|B,2PCC,A,B,OTHER,src\bridging\generatedData\pdb_cache\2PCC.pdb,294.0,108.0,,,skipped,ok
"2PYE|A,B,C|D,E",2PYE,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\2PYE.pdb,385.0,437.0,,,skipped,ok
"2QJ9|A,B|C",2QJ9,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\2QJ9.pdb,207.0,86.0,,,skipped,ok
"2QJA|A,B|C",2QJA,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\2QJA.pdb,208.0,85.0,,,skipped,ok
"2QJB|A,B|C",2QJB,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\2QJB.pdb,207.0,85.0,,,skipped,ok
2REX|A|B,2REX,A,B,OTHER,src\bridging\generatedData\pdb_cache\2REX.pdb,107.0,171.0,,,skipped,ok
2SGP|E|I,2SGP,E,I,OTHER,src\bridging\generatedData\pdb_cache\2SGP.pdb,185.0,51.0,,,skipped,ok
2SGQ|E|I,2SGQ,E,I,OTHER,src\bridging\generatedData\pdb_cache\2SGQ.pdb,185.0,51.0,,,skipped,ok
2SIC|E|I,2SIC,E,I,OTHER,src\bridging\generatedData\pdb_cache\2SIC.pdb,275.0,107.0,,,skipped,ok
"2UWE|A,B,C|E,F",2UWE,"A,B,C","E,F",TCR-pMHC,src\bridging\generatedData\pdb_cache\2UWE.pdb,384.0,431.0,,,skipped,ok
"2VIR|A,B|C",2VIR,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\2VIR.pdb,431.0,267.0,,,skipped,ok
"2VIS|A,B|C",2VIS,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\2VIS.pdb,431.0,267.0,,,skipped,ok
2VLN|A|B,2VLN,A,B,OTHER,src\bridging\generatedData\pdb_cache\2VLN.pdb,80.0,134.0,,,skipped,ok
2VLO|A|B,2VLO,A,B,OTHER,src\bridging\generatedData\pdb_cache\2VLO.pdb,90.0,132.0,,,skipped,ok
2VLP|A|B,2VLP,A,B,OTHER,src\bridging\generatedData\pdb_cache\2VLP.pdb,82.0,134.0,,,skipped,ok
2VLQ|A|B,2VLQ,A,B,OTHER,src\bridging\generatedData\pdb_cache\2VLQ.pdb,84.0,134.0,,,skipped,ok
"2VLR|A,B,C|D,E",2VLR,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\2VLR.pdb,385.0,439.0,,,skipped,ok
2VN5|A|B,2VN5,A,B,OTHER,src\bridging\generatedData\pdb_cache\2VN5.pdb,142.0,56.0,,,skipped,ok
2WPT|A|B,2WPT,A,B,OTHER,src\bridging\generatedData\pdb_cache\2WPT.pdb,82.0,113.0,,,skipped,ok
"3AAA|A,B|C",3AAA,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\3AAA.pdb,517.0,117.0,,,skipped,ok
"3B4V|A,B|C",3B4V,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\3B4V.pdb,223.0,206.0,,,skipped,ok
