PDB,complex_pdb,Chains_1,Chains_2,Baseline_dG,Experimental_dG,Error_dG,Temp_C,Temp_K,pH,Kd_M,Kd_qualifier,dG_kcal_mol,dG_qualifier,Method,Class
1JPS,1JPS_HL:T,HL,T,12.86,13.6,-0.7400000000000002,25.0,298.15,7.2,1e-10,,13.6,,SPR,A
1Z0K,1Z0K_A:B,A,B,11.7,7.0,4.699999999999999,25.0,298.15,7.5,7.7e-06,,7.0,,SPR,OG
2TGP,2TGP_Z:I,Z,I,12.35,7.5,4.85,20.0,293.15,8.0,2.4e-06,,7.5,,Spectro-scopy,NC
1MLC,1MLC_AB:E,AB,E,10.34,9.6,0.7400000000000002,25.0,298.15,7.4,9.1e-08,,9.6,,SPR,NC
2GOX,2GOX_A:B,A,B,11.42,12.1,-0.6799999999999997,25.0,298.15,7.4,1.4e-09,,12.1,,SPR,OX
1J2J,1J2J_A:B,A,B,7.01,8.1,-1.0899999999999999,25.0,298.15,8.0,1.1e-06,,8.1,,SPR,OG
2AJF,2AJF_A:E,A,E,10.82,10.6,0.22000000000000064,25.0,298.15,,1.6e-08,,10.6,,SPR,OR
1ZHI,1ZHI_A:B,A,B,8.69,9.1,-0.41000000000000014,23.0,296.15,7.2,2e-07,,9.1,,ITC,OX
1E96,1E96_A:B,A,B,7.98,7.4,0.5800000000000001,18.0,291.15,7.0,2.7e-06,,7.4,,ITC,OG
1KXQ,1KXQ_H:A,H,A,11.63,11.5,0.13000000000000078,25.0,298.15,7.4,3.5e-09,,11.5,,SPR,AB
1AVZ,1AVZ_B:C,B,C,8.44,6.5,1.9399999999999995,25.0,298.15,7.5,1.6e-05,,6.5,,ITC,NC
1QA9,1QA9_A:B,A,B,9.53,7.2,2.329999999999999,37.0,310.15,7.4,9e-06,,7.2,,SPR,OX
1CBW,1CBW_ABC:D,ABC,D,11.32,10.7,0.620000000000001,22.0,295.15,8.2,1.1e-08,,10.7,,Spectro-scopy,NC
1BUH,1BUH_A:B,A,B,8.38,9.7,-1.3199999999999985,25.0,298.15,7.4,7.7e-08,,9.7,,SPR,EI
1DQJ,1DQJ_AB:C,AB,C,12.69,11.7,0.9900000000000002,25.0,298.15,7.5,2.8e-09,,11.7,,SPR,A
1EWY,1EWY_A:C,A,C,8.24,7.4,0.8399999999999999,25.0,298.15,8.0,3.6e-06,,7.4,,spectro-scopy,ES
2VIR,2VIR_AB:C,AB,C,10.95,12.3,-1.3500000000000014,25.0,298.15,,1e-09,,12.3,,SPR,A
2VIS,2VIS_AB:C,AB,C,10.95,7.4,3.549999999999999,25.0,298.15,,4e-06,,7.4,,SPR,NC
2A9K,2A9K_A:B,A,B,11.45,10.2,1.25,37.0,310.15,7.5,6e-08,,10.2,,ITC,ES
2OOB,2OOB_A:B,A,B,6.23,5.7,0.5300000000000002,20.0,293.15,7.0,6e-05,,5.7,,ITC,ES
1BVN,1BVN_P:T,P,T,13.31,15.1,-1.7899999999999991,25.0,298.15,,9.2e-12,,15.1,,SPR,EI
1EFN,1EFN_B:A,B,A,7.97,10.1,-2.13,25.0,298.15,7.4,3.8e-08,,10.1,,SPR,OX
2ABZ,2ABZ_B:E,B,E,12.01,11.7,0.3100000000000005,25.0,298.15,7.5,2.8e-09,,11.7,,spectro-scopy,EI
1GCQ,1GCQ_B:C,B,C,9.03,6.5,2.5299999999999994,25.0,298.15,7.4,1.7e-05,,6.5,,SPR,OX
1HE8,1HE8_B:A,B,A,7.27,7.4,-0.13000000000000078,20.0,293.15,7.5,3.2e-06,,7.4,,stopped-flow,OG
1KAC,1KAC_A:B,A,B,11.83,10.7,1.1300000000000008,25.0,298.15,7.4,1.5e-08,,10.7,,SPR,OR
1GLA,1GLA_G:F,G,F,8.14,6.8,1.3400000000000007,25.0,298.15,7.0,1.1e-05,,6.8,,spectro-scopy,ER
1S1Q,1S1Q_A:B,A,B,8.97,4.3,4.670000000000001,20.0,293.15,7.2,0.00064,,4.3,,SPR,OX
1VFB,1VFB_AB:C,AB,C,12.48,11.5,0.9800000000000004,24.0,297.15,7.1,3.7e-09,,11.5,,ITC,A
2FJU,2FJU_B:A,B,A,5.88,7.2,-1.3200000000000003,25.0,298.15,,5.3e-06,,7.2,,SPR,OG
1E6J,1E6J_HL:P,HL,P,9.16,10.3,-1.1400000000000006,25.0,298.15,7.4,2.9e-08,,10.3,,SPR,A
1US7,1US7_A:B,A,B,6.81,8.1,-1.29,30.0,303.15,8.0,1.5e-06,,8.1,,ITC,ER
1ACB,1ACB_E:I,E,I,11.83,13.1,-1.2699999999999996,21.0,294.15,8.0,2e-10,,13.1,,spectro-scopy,EI
3BZD,3BZD_A:B,A,B,9.37,9.6,-0.23000000000000043,25.0,298.15,7.2,9.6e-08,,9.6,,ITC,OX
1A2K,1A2K_C:AB,C,AB,9.27,9.3,-0.030000000000001137,25.0,298.15,7.5,1.5e-07,,9.3,,ITC,OG
1AKJ,1AKJ_AB:DE,AB,DE,7.32,5.3,2.0200000000000005,25.0,298.15,7.4,0.00013,,5.3,,SPR,OX
2HQS,2HQS_A:H,A,H,12.16,10.2,1.9600000000000009,20.0,293.15,7.5,2.7e-08,,10.2,,ITC,OX
1K5D,1K5D_AB:C,AB,C,11.57,12.8,-1.2300000000000004,20.0,293.15,7.5,3e-10,,12.8,,stopped-flow,OG
1EZU,1EZU_C:AB,C,AB,13.14,13.8,-0.6600000000000001,25.0,298.15,8.0,8e-11,,13.8,,spectro-scopy,EI
2I25,2I25_N:L,N,L,12.04,12.3,-0.26000000000000156,25.0,298.15,7.4,1e-09,,12.3,,SPR,A
1BVK,1BVK_DE:F,DE,F,11.31,10.5,0.8100000000000005,20.0,293.15,7.0,1.4e-08,,10.5,,stopped-flow,A
1JWH,1JWH_CD:A,CD,A,9.51,11.1,-1.5899999999999999,35.0,308.15,8.5,1.3e-08,,11.1,,ITC,ER
1EMV,1EMV_A:B,A,B,10.96,18.6,-7.640000000000001,25.0,298.15,7.0,2.4e-14,,18.6,,stopped-flow,EI
1XU1,1XU1_ABD:T,ABD,T,9.15,11.2,-2.049999999999999,25.0,298.15,7.4,6.4e-09,,11.2,,SPR,OR
1AK4,1AK4_A:D,A,D,7.83,6.4,1.4299999999999997,20.0,293.15,6.5,1.6e-05,,6.4,,ITC,OX
1E6E,1E6E_A:B,A,B,8.6,8.3,0.29999999999999893,25.0,298.15,7.4,8.6e-07,,8.3,,SPR,ES
1GXD,1GXD_A:C,A,C,12.58,11.7,0.8800000000000008,25.0,298.15,7.2,5.2e-09,,11.7,,SPR,EI
1I4D,1I4D_D:AB,D,AB,9.32,7.5,1.8200000000000003,22.0,295.15,8.7,3e-06,,7.5,,ITC,OG
1FFW,1FFW_A:B,A,B,5.71,8.1,-2.3899999999999997,28.0,301.15,7.4,1.4e-06,,8.1,,ITC,OX
4CPA,4CPA_A:I,A,I,10.1,11.3,-1.200000000000001,25.0,298.15,7.5,5e-09,,11.3,,spectro-scopy,EI
2WPT,2WPT_A:B,A,B,11.92,10.7,1.2200000000000006,25.0,298.15,7.0,1.5e-08,,10.7,,stopped-flow,NC
1FC2,1FC2_C:D,C,D,8.48,10.4,-1.92,25.0,298.15,6.0,2.3e-08,,10.4,,stopped-flow,OX
1MQ8,1MQ8_A:B,A,B,8.22,7.5,0.7200000000000006,25.0,298.15,,3e-06,,7.5,,SPR,OX
1XQS,1XQS_A:C,A,C,11.22,7.1,4.120000000000001,25.0,298.15,7.4,6.5e-06,,7.1,,SPR,OX
1LFD,1LFD_B:A,B,A,8.4,7.8,0.6000000000000005,25.0,298.15,7.4,1.9e-06,,7.8,,stopped-flow,OG
2AQ3,2AQ3_A:B,A,B,7.39,6.7,0.6899999999999995,25.0,298.15,7.2,1.2e-05,,6.7,,ITC,NC
1B6C,1B6C_A:B,A,B,9.41,8.9,0.5099999999999998,25.0,298.15,7.4,2.8e-07,,8.9,,SPR,OX
2HRK,2HRK_A:B,A,B,8.66,11.0,-2.34,25.0,298.15,7.4,9e-09,,11.0,,SPR,OX
2NYZ,2NYZ_AB:D,AB,D,12.74,12.7,0.040000000000000924,25.0,298.15,7.4,5e-10,,12.7,,SPR,OR
1I2M,1I2M_A:B,A,B,14.58,15.8,-1.2200000000000006,25.0,298.15,7.4,2.5e-12,,15.8,,stopped-flow,OG
3CPH,3CPH_G:A,G,A,9.35,8.8,0.5499999999999989,25.0,298.15,7.5,3.3e-07,,8.8,,ITC,OG
1KKL,1KKL_ABC:H,ABC,H,9.21,10.0,-0.7899999999999991,25.0,298.15,8.0,4.5e-08,,10.0,,SPR,ES
1EER,1EER_A:BC,A,BC,13.6,15.6,-2.0,25.0,298.15,7.4,3.7e-12,,15.6,,SPR,OR
1E4K,1E4K_AB:C,AB,C,9.38,7.9,1.4800000000000004,25.0,298.15,7.4,1.7e-06,,7.9,,SPR,OR
2C0L,2C0L_A:B,A,B,11.26,9.8,1.459999999999999,35.0,308.15,7.4,1.1e-07,,9.8,,ITC,OX
1ATN,1ATN_A:D,A,D,10.94,12.1,-1.1600000000000001,30.0,303.15,8.0,2e-09,,12.1,,spectro-scopy,OX
