pdb,reason,temperature_k,ligand_len,receptor_len,size_source,subgroup,pdb_path,n_ca_ligand,n_ca_receptor,dN_ligand_nm,dN_receptor_nm
2C0L,KEEP,305.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2C0L.pdb,292.0,122.0,0.8410056233406067,1.0773701667785645
2C5D,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2C5D.pdb,760.0,382.0,0.6268517971038818,0.6321262121200562
2C5D,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2C5D.pdb,380.0,191.0,0.959300696849823,1.061977744102478
2CCL,KEEP,338.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2CCL.pdb,149.0,62.0,0.9223955273628235,1.1668275594711304
2DSQ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2DSQ.pdb,49.0,73.0,1.217244267463684,1.0396990776062012
2DVW,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2DVW.pdb,229.0,73.0,0.8831379413604736,1.0189284086227417
2E7L,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2E7L.pdb,184.0,224.0,0.93571937084198,0.993902862071991
2FTL,KEEP,295.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2FTL.pdb,222.0,57.0,0.9325296878814697,1.6854184865951538
2G2U,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2G2U.pdb,265.0,165.0,0.8956530690193176,0.8908032774925232
2G2W,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2G2W.pdb,265.0,164.0,0.8523034453392029,0.902180552482605
2GOX,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2GOX.pdb,297.0,65.0,1.007779836654663,1.014240026473999
2GYK,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2GYK.pdb,83.0,130.0,1.0829132795333862,1.1993802785873413
2HLE,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2HLE.pdb,188.0,133.0,0.8230686187744141,1.0421295166015625
2HRK,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2HRK.pdb,177.0,121.0,1.0894016027450562,1.0553507804870605
2I26,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2I26.pdb,118.0,129.0,1.4459476470947266,0.9849555492401123
2J0T,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2J0T.pdb,161.0,124.0,0.9570637345314026,1.126987099647522
2J12,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2J12.pdb,182.0,120.0,1.0124742984771729,0.975513219833374
2J1K,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2J1K.pdb,182.0,119.0,1.0231276750564575,1.001753807067871
2J8U,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2J8U.pdb,384.0,431.0,0.9427271485328674,1.0554664134979248
2JCC,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2JCC.pdb,384.0,431.0,0.9379979968070984,1.0464911460876465
2JEL,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2JEL.pdb,435.0,85.0,1.0902270078659058,1.020803451538086
2KSO,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2KSO.pdb,65.0,59.0,1.5291788578033447,1.3936471939086914
2NOJ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NOJ.pdb,277.0,58.0,1.017823338508606,1.0522871017456055
2NU0,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU0.pdb,185.0,51.0,0.9820398688316345,1.3115023374557495
2NU1,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU1.pdb,185.0,51.0,0.9876052141189575,1.3346205949783325
2NU2,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU2.pdb,185.0,51.0,0.9846169948577881,1.329237461090088
2NU4,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NU4.pdb,185.0,51.0,0.9775777459144592,1.3036285638809204
2NY7,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NY7.pdb,445.0,290.0,0.90326327085495,0.9903349280357361
2NYY,KEEP,296.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NYY.pdb,433.0,1267.0,1.017569661140442,0.9619982242584229
2NZ9,KEEP,296.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2NZ9.pdb,433.0,1267.0,1.003044843673706,0.9444241523742676
2O3B,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2O3B.pdb,241.0,135.0,0.9509902596473694,1.1662721633911133
2OI9,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2OI9.pdb,184.0,221.0,0.9365453720092773,0.984248697757721
2OOB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2OOB.pdb,44.0,72.0,1.5078543424606323,1.4842615127563477
2P5E,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2P5E.pdb,385.0,435.0,0.9215084314346313,1.026890754699707
2PCB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2PCB.pdb,294.0,104.0,1.2649348974227905,1.3040337562561035
2PCC,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2PCC.pdb,294.0,108.0,1.1324679851531982,1.265293002128601
2PYE,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2PYE.pdb,385.0,437.0,0.9096712470054626,1.0038982629776
2QJ9,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2QJ9.pdb,207.0,86.0,0.9173362255096436,0.9031144976615906
2QJA,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2QJA.pdb,208.0,85.0,0.9387055039405823,0.9083481431007385
2QJB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2QJB.pdb,207.0,85.0,0.9347837567329407,0.916557252407074
2REX,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2REX.pdb,107.0,171.0,1.1908336877822876,1.2088779211044312
2SGP,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2SGP.pdb,185.0,51.0,1.006767988204956,1.3316586017608643
2SGQ,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2SGQ.pdb,185.0,51.0,0.9766760468482971,1.2908449172973633
