pdb,reason
2GYK,duplicate_ligand_receptor_pair
2HLE,KEEP
2HRK,KEEP
2I26,KEEP
2J0T,KEEP
2J12,KEEP
2J1K,KEEP
2J8U,duplicate_ligand_receptor_pair
2JCC,duplicate_ligand_receptor_pair
2JEL,KEEP
2KSO,KEEP
2NOJ,KEEP
2NU0,duplicate_ligand_receptor_pair
2NU1,duplicate_ligand_receptor_pair
2NU2,duplicate_ligand_receptor_pair
2NU4,duplicate_ligand_receptor_pair
2NY7,KEEP
2NYY,KEEP
2NZ9,duplicate_ligand_receptor_pair
2O3B,KEEP
2OI9,KEEP
2OOB,KEEP
2P5E,duplicate_ligand_receptor_pair
2PCB,KEEP
2PCC,duplicate_ligand_receptor_pair
2PYE,duplicate_ligand_receptor_pair
2QJ9,duplicate_ligand_receptor_pair
2QJA,duplicate_ligand_receptor_pair
2QJB,duplicate_ligand_receptor_pair
2REX,KEEP
2SGP,duplicate_ligand_receptor_pair
2SGQ,duplicate_ligand_receptor_pair
2SIC,KEEP
2UWE,duplicate_ligand_receptor_pair
2VIR,KEEP
2VIS,duplicate_ligand_receptor_pair
2VLN,duplicate_ligand_receptor_pair
2VLO,duplicate_ligand_receptor_pair
2VLP,duplicate_ligand_receptor_pair
2VLQ,duplicate_ligand_receptor_pair
2VLR,duplicate_ligand_receptor_pair
2VN5,KEEP
2WPT,KEEP
3AAA,KEEP
3B4V,KEEP
3BDY,KEEP
3BE1,KEEP
3BIW,KEEP
3BK3,KEEP
3BN9,KEEP
3BP8,KEEP
3BT1,KEEP
3BTD,duplicate_ligand_receptor_pair
3BTE,duplicate_ligand_receptor_pair
3BTF,duplicate_ligand_receptor_pair
3BTG,duplicate_ligand_receptor_pair
3BTH,duplicate_ligand_receptor_pair
3BTM,duplicate_ligand_receptor_pair
3BTQ,duplicate_ligand_receptor_pair
3BTT,duplicate_ligand_receptor_pair
3BTW,duplicate_ligand_receptor_pair
3BX1,KEEP
3C60,KEEP
3D3V,duplicate_ligand_receptor_pair
3D5R,duplicate_ligand_receptor_pair
3D5S,duplicate_ligand_receptor_pair
3EG5,KEEP
3EQS,KEEP
3EQY,KEEP
3F1S,KEEP
3G6D,KEEP
3H9S,KEEP
3HFM,KEEP
3HG1,KEEP
3HH2,KEEP
3IDX,KEEP
3KBH,KEEP
3KUD,KEEP
3L5X,KEEP
3LB6,KEEP
3LNZ,duplicate_ligand_receptor_pair
3LZF,KEEP
3M62,KEEP
3M63,KEEP
3MZG,KEEP
3MZW,KEEP
3N06,duplicate_ligand_receptor_pair
3N0P,duplicate_ligand_receptor_pair
3N4I,duplicate_ligand_receptor_pair
3N85,KEEP
3NCB,duplicate_ligand_receptor_pair
3NCC,duplicate_ligand_receptor_pair
3NGB,KEEP
3NPS,KEEP
3NVN,KEEP
3NVQ,KEEP
3PWP,KEEP
3Q3J,KEEP
3Q8D,KEEP
3QDG,KEEP
3QDJ,KEEP
3QFJ,duplicate_ligand_receptor_pair
3QHY,KEEP
3QIB,KEEP
3R9A,KEEP
3RF3,KEEP
3S9D,KEEP
3SE3,KEEP
3SE3,duplicate_ligand_receptor_pair
3SE4,KEEP
3SE4,duplicate_pdb
3SE8,KEEP
3SE9,KEEP
3SEK,KEEP
3SF4,KEEP
3SGB,duplicate_ligand_receptor_pair
3SZK,KEEP
3TGK,duplicate_ligand_receptor_pair
3U82,KEEP
3UIG,KEEP
3UIH,KEEP
3UII,KEEP
3VR6,KEEP
3W2D,KEEP
3WWN,KEEP
4B0M,KEEP
4BFI,KEEP
4CPA,KEEP
4CVW,KEEP
4E6K,KEEP
4EKD,KEEP
4FTV,duplicate_ligand_receptor_pair
4FZA,KEEP
4G0N,duplicate_ligand_receptor_pair
4G2V,KEEP
4GNK,KEEP
4GU0,KEEP
4GXU,KEEP
4HFK,KEEP
4HRN,KEEP
4HSA,KEEP
4I77,KEEP
4J2L,KEEP
4JEU,KEEP
4JFD,KEEP
4JFE,duplicate_ligand_receptor_pair
4JFF,duplicate_ligand_receptor_pair
4JGH,KEEP
4JPK,KEEP
4K71,KEEP
4KRL,KEEP
4KRO,KEEP
4KRP,KEEP
4L0P,KEEP
4L3E,duplicate_ligand_receptor_pair
4LRX,KEEP
4MNQ,KEEP
4MYW,KEEP
4N8V,KEEP
4NKQ,KEEP
4NM8,KEEP
4NZW,KEEP
4O27,KEEP
4OFY,KEEP
4OZG,KEEP
4P23,KEEP
4P5T,KEEP
4PWX,KEEP
4RA0,duplicate_ligand_receptor_pair
4RS1,KEEP
4U6H,KEEP
4UYP,KEEP
4UYQ,duplicate_ligand_receptor_pair
4WND,KEEP
4X4M,KEEP
4Y61,KEEP
4YEB,KEEP
4YFD,KEEP
4YH7,KEEP
4ZS6,KEEP
5C6T,KEEP
5CXB,KEEP
5CYK,duplicate_ligand_receptor_pair
5DWU,KEEP
5E6P,KEEP
5E9D,KEEP
5F4E,KEEP
5K39,KEEP
5M2O,KEEP
5TAR,KEEP
5UFE,KEEP
5UFQ,duplicate_ligand_receptor_pair
5XCO,KEEP
1CSE,mutant_dropped
1CSE,mutant_dropped
1CSE,mutant_dropped
1CSE,mutant_dropped
1CSE,mutant_dropped
1CSE,mutant_dropped
1ACB,mutant_dropped
1ACB,mutant_dropped
1ACB,mutant_dropped
1ACB,mutant_dropped
1ACB,mutant_dropped
1ACB,mutant_dropped
1SBN,mutant_dropped
1SIB,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1Y1K,mutant_dropped
1Y33,mutant_dropped
1Y34,mutant_dropped
1Y3B,mutant_dropped
1Y4A,mutant_dropped
1Y3C,mutant_dropped
1Y48,mutant_dropped
1Y3D,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM4,mutant_dropped
1TM5,mutant_dropped
1TM3,mutant_dropped
1TM7,mutant_dropped
1TMG,mutant_dropped
1TO1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
1TM1,mutant_dropped
2SIC,mutant_dropped
2SIC,mutant_dropped
2SIC,mutant_dropped
2SIC,mutant_dropped
2SIC,mutant_dropped
2SIC,mutant_dropped
2SIC,mutant_dropped
2SIC,mutant_dropped
2SIC,mutant_dropped
2SIC,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1IAR,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1B2U,mutant_dropped
1B2U,mutant_dropped
1B2U,mutant_dropped
1B2S,mutant_dropped
1B2S,mutant_dropped
1B2S,mutant_dropped
1B3S,mutant_dropped
1B3S,mutant_dropped
1B3S,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1X1W,mutant_dropped
1X1X,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1BRS,mutant_dropped
1SBB,mutant_dropped
1SBB,mutant_dropped
1SBB,mutant_dropped
1JCK,mutant_dropped
1JCK,mutant_dropped
1JCK,mutant_dropped
1JCK,mutant_dropped
1JCK,mutant_dropped
1JCK,mutant_dropped
1JCK,mutant_dropped
1SBB,mutant_dropped
1JCK,mutant_dropped
1JCK,mutant_dropped
1JCK,mutant_dropped
1GCQ,mutant_dropped
1GCQ,mutant_dropped
1GCQ,mutant_dropped
1GCQ,mutant_dropped
1GCQ,mutant_dropped
1GCQ,mutant_dropped
1GCQ,mutant_dropped
1E96,mutant_dropped
1E96,mutant_dropped
1E96,mutant_dropped
1E96,mutant_dropped
1E96,mutant_dropped
1E96,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1AK4,mutant_dropped
1M9E,mutant_dropped
2B42,mutant_dropped
2B42,mutant_dropped
2B42,mutant_dropped
2I26,mutant_dropped
2I26,mutant_dropped
2HLE,mutant_dropped
2HLE,mutant_dropped
3BT1,mutant_dropped
3BT1,mutant_dropped
3BT1,mutant_dropped
3BT1,mutant_dropped
3BT1,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1AHW,mutant_dropped
1UUZ,mutant_dropped
1UUZ,mutant_dropped
1UUZ,mutant_dropped
1UUZ,mutant_dropped
1UUZ,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1DVF,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1VFB,mutant_dropped
1EFN,mutant_dropped
1EFN,mutant_dropped
1EFN,mutant_dropped
2GOX,mutant_dropped
2GOX,mutant_dropped
3D5S,mutant_dropped
3D5R,mutant_dropped
2NOJ,mutant_dropped
3BP8,mutant_dropped
3BP8,mutant_dropped
3BP8,mutant_dropped
2VIS,mutant_dropped
2VIR,mutant_dropped
2VIR,mutant_dropped
2HRK,mutant_dropped
2HRK,mutant_dropped
2HRK,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2WPT,mutant_dropped
2VLP,mutant_dropped
2VLN,mutant_dropped
2VLQ,mutant_dropped
2VLO,mutant_dropped
1EMV,mutant_dropped
2WPT,mutant_dropped
1EMV,mutant_dropped
2WPT,mutant_dropped
1EMV,mutant_dropped
2WPT,mutant_dropped
1EMV,mutant_dropped
2WPT,mutant_dropped
1EMV,mutant_dropped
2WPT,mutant_dropped
1EMV,mutant_dropped
2WPT,mutant_dropped
1EMV,mutant_dropped
2WPT,mutant_dropped
1EMV,mutant_dropped
2WPT,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1EMV,mutant_dropped
1FR2,mutant_dropped
2GYK,mutant_dropped
1KIQ,mutant_dropped
1KIP,mutant_dropped
1KIR,mutant_dropped
2B0Z,mutant_dropped
2B10,mutant_dropped
2B11,mutant_dropped
2B12,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCC,mutant_dropped
2PCB,mutant_dropped
2PCB,mutant_dropped
2PCB,mutant_dropped
2PCB,mutant_dropped
2PCB,mutant_dropped
2PCB,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2JEL,mutant_dropped
2OOB,mutant_dropped
2OOB,mutant_dropped
2OOB,mutant_dropped
2OOB,mutant_dropped
2OOB,mutant_dropped
2OOB,mutant_dropped
2OOB,mutant_dropped
2O3B,mutant_dropped
2O3B,mutant_dropped
2O3B,mutant_dropped
2O3B,mutant_dropped
2O3B,mutant_dropped
2O3B,mutant_dropped
2O3B,mutant_dropped
2O3B,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2J0T,mutant_dropped
2C0L,mutant_dropped
2C0L,mutant_dropped
2C0L,mutant_dropped
2BTF,mutant_dropped
2BTF,mutant_dropped
2BTF,mutant_dropped
2BTF,mutant_dropped
2AJF,mutant_dropped
2AJF,mutant_dropped
2AJF,mutant_dropped
2AJF,mutant_dropped
2A9K,mutant_dropped
2A9K,mutant_dropped
4CPA,mutant_dropped
4CPA,mutant_dropped
4CPA,mutant_dropped
4CPA,mutant_dropped
4CPA,mutant_dropped
4CPA,mutant_dropped
4CPA,mutant_dropped
4CPA,mutant_dropped
2ABZ,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1XD3,mutant_dropped
1S1Q,mutant_dropped
1S1Q,mutant_dropped
1S1Q,mutant_dropped
1S1Q,mutant_dropped
1S1Q,mutant_dropped
1S1Q,mutant_dropped
1NCA,mutant_dropped
1NCA,mutant_dropped
1NCA,mutant_dropped
1NCA,mutant_dropped
1N8O,mutant_dropped
1N8O,mutant_dropped
1N8O,mutant_dropped
1MQ8,mutant_dropped
1MQ8,mutant_dropped
1MQ8,mutant_dropped
1MQ8,mutant_dropped
1MQ8,mutant_dropped
1MQ8,mutant_dropped
1MQ8,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1MAH,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1LFD,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
1KTZ,mutant_dropped
