Unnamed: 0,Source Data Set,Complex ID,PDB,Mutations,Ligand Chains,Receptor Chains,Ligand Name,Receptor Name,KD(M),Affinity Method,Structure Method,Temperature(K),Resolution(A),PDB PubMed ID,PDB Release Date,Affinity PubMed ID,Affinity Release Date,Subgroup,split
339,SKEMPI v2.0,"5F4E:A, B::PMID=27309818",5F4E,,A,B,Sperm-egg fusion protein Izumo,Sperm-egg fusion protein Juno,5.9e-08,BLI,X-RAY DIFFRACTION,293.0,2.4,27309818.0,15/06/2016,27309818,2016 Jun 23,OTHER,train
255,SKEMPI v2.0,"3QHY:A, B::PMID=23625930",3QHY,,A,B,B. anthracis beta-lactamase,BLIP-II,3e-13,IASP,X-RAY DIFFRACTION,298.0,2.06,21775426.0,20/07/2011,23625930,2013 Jun 14,OTHER,train
84,SKEMPI v2.0,"1SBB:A, B::PMID=9500785",1SBB,,A,B,Beta-chain of 14.3.d,Staphylococcal enterotoxin B,0.00014,SPR,X-RAY DIFFRACTION,298.0,2.4,9881971.0,01/03/1999,9500785,1998 Mar 16,OTHER,train
8398,Affinity Benchmark v5.5,"1WDW:A, B, D::PMID=12643278",1WDW,,"B, D",A,Tryptophan synthase beta chain 1,Tryptophan synthase alpha chain,2.5e-09,,X-RAY DIFFRACTION,325.15,3.0,16114878.0,12/07/2005,12643278,2003 Mar 14,OTHER,train
124,SKEMPI v2.0,"1YY9:A, C, D::PMID=24380763",1YY9,,"C, D",A,Cetuximab fab,Epidermal growth factor receptor,1.31e-09,SPR,X-RAY DIFFRACTION,298.0,2.6,15837620.0,26/04/2005,24380763,2014 Apr 3,OTHER,train
8264,Affinity Benchmark v5.5,"2OZA:A, B::PMID=15287722",2OZA,,B,A,MAP kinase 14,MAP kinase-activated protein kinase 2,2.5e-09,,X-RAY DIFFRACTION,300.15,2.7,17395714.0,03/04/2007,15287722,2004 Aug 10,OTHER,train
136,SKEMPI v2.0,"2B2X:A, H, L::PMID=16597831",2B2X,,"H, L",A,AQC2 fab,Integrin alpha-1,1.46e-09,Other,X-RAY DIFFRACTION,298.0,2.2,16597831.0,18/04/2006,16597831,2006 May,OTHER,train
334,SKEMPI v2.0,"5CXB:A, B::PMID=26476442",5CXB,,A,B,C. thermophilum YTM1,C. thermophilum ERB1,2.7e-09,BLI,X-RAY DIFFRACTION,298.0,2.1,26476442.0,04/11/2015,26476442,2015 Dec 15,OTHER,train
290,SKEMPI v2.0,"4GXU:A, B, C, D, E, F, M, N::PMID=23236279",4GXU,,"A, B, C, D, E, F","M, N",Hemagglutinin HA2,Antibody 1F1,6.2e-09,SP,X-RAY DIFFRACTION,298.0,3.29,23236279.0,19/12/2012,23236279,2012,OTHER,train
8387,Affinity Benchmark v5.5,"1I4D:A, B, D::PMID=11346801",1I4D,,D,"A, B",Rac GTPase.GDP,Arfaptin,3e-06,,X-RAY DIFFRACTION,297.15,2.5,11346801.0,16/05/2001,11346801,2001 May 10,OTHER,train
78,SKEMPI v2.0,"1QAB:A, B, C, D, E::PMID=19021760",1QAB,,"A, B, C, D",E,Transthyretin,Plasma retinol-binding protein,3.5e-07,FL,X-RAY DIFFRACTION,293.0,3.2,10052934.0,16/02/1999,19021760,2008 Dec,OTHER,train
169,SKEMPI v2.0,"2NY7:G, H, L::PMID=17301785",2NY7,,"H, L",G,b12 fab,gp120,3.64e-08,SPR,X-RAY DIFFRACTION,298.0,2.3,17301785.0,06/02/2007,17301785,2007 Feb 15,OTHER,train
316,SKEMPI v2.0,"4OFY:A, D::PMID=24485456",4OFY,,A,D,SYG-1 D1-D2,SYG-2 D1-D4,5.9e-07,SPR,X-RAY DIFFRACTION,298.0,3.3,24485456.0,19/02/2014,24485456,2014 Jan 30,OTHER,train
329,SKEMPI v2.0,"4YEB:A, B::PMID=26235031",4YEB,,A,B,Latrophilin-3 OLF domain,FLRT3 LRR domain,1.69e-08,ITC,X-RAY DIFFRACTION,298.0,3.19,26235031.0,19/08/2015,26235031,2015 Sep 1,OTHER,train
8270,Affinity Benchmark v5.5,"1I2M:A, B::PMID=7548002",1I2M,,A,B,Ran GTPase,RCC1,2.5e-12,,X-RAY DIFFRACTION,300.15,1.76,11336674.0,02/05/2001,7548002,1995 Oct 3,OTHER,train
8414,Affinity Benchmark v5.5,"2FJU:A, B::PMID=12657629",2FJU,,B,A,Phospholipase beta 2,Rac1 GTPase.GDP,5.3e-06,,X-RAY DIFFRACTION,300.15,2.2,17115053.0,21/11/2006,12657629,2003 Jun 6,OTHER,train
131,SKEMPI v2.0,"2B0U:A, B, C::PMID=22052913",2B0U,,"A, B",C,Activin A,Follistatin,2e-11,SPR,X-RAY DIFFRACTION,298.0,2.8,16198295.0,11/10/2005,22052913,2012 Jan 6,OTHER,train
328,SKEMPI v2.0,"4Y61:A, B::PMID=25989451",4Y61,,A,B,PTP delta,Slitrk2 LRR1,3.56e-07,SPR,X-RAY DIFFRACTION,298.0,3.36,25989451.0,03/06/2015,25989451,2015 May 19,OTHER,train
197,SKEMPI v2.0,"3B4V:A, B, C::PMID=22052913",3B4V,,"A, B",C,Activin A,Follistatin-like 3,1.4e-10,SPR,X-RAY DIFFRACTION,298.0,2.48,18768470.0,02/09/2008,22052913,2012 Jan 6,OTHER,train
101,SKEMPI v2.0,"1U7F:A, B, C::PMID=15350224",1U7F,,B,"A, C",Smad4,Smad3,5.8e-08,ITC,X-RAY DIFFRACTION,310.0,2.6,15350224.0,28/09/2004,15350224,2004 Sep 10,OTHER,train
271,SKEMPI v2.0,"3U82:A, B::PMID=25231300",3U82,,A,B,HSV-1 gD,Nectin-1,1.25e-08,SPR,X-RAY DIFFRACTION,298.0,3.16,22146396.0,21/03/2012,25231300,2014 Dec,OTHER,train
8252,Affinity Benchmark v5.5,"1AVX:A, B::PMID=Lebowitz J, Laskowski M (1962) Potentiometric Measurement of Protein-Protein Association Constants. Soybean Trypsin Inhibitor-Trypsin Association. Biochemistry 1:1044-105.",1AVX,,A,B,Porcine trypsin,Soybean trypsin inhibitor,4.8e-10,,X-RAY DIFFRACTION,295.15,1.9,9466914.0,28/10/1998,"Lebowitz J, Laskowski M (1962) Potentiometric Measurement of Protein-Protein Association Constants. Soybean Trypsin Inhibitor-Trypsin Association. Biochemistry 1:1044-105.",,OTHER,train
246,SKEMPI v2.0,"3NPS:A, B, C::PMID=17475279",3NPS,,A,"B, C",Membrane-type serine protease 1,S4 fab,7.04e-11,FL,X-RAY DIFFRACTION,298.0,1.5,22154938.0,06/07/2011,17475279,2007 Jun 15,OTHER,train
227,SKEMPI v2.0,"3HH2:A, B, C::PMID=22052913",3HH2,,"A, B",C,Myostatin,Follistatin,6.3e-09,SPR,X-RAY DIFFRACTION,298.0,2.15,19644449.0,04/08/2009,22052913,2012 Jan 6,OTHER,train
8225,Affinity Benchmark v5.5,"1EER:A, B, C::PMID=12463751",1EER,,A,"B, C",Erythropoietin,EPO receptor,3.7e-12,,X-RAY DIFFRACTION,300.15,1.9,9774108.0,01/10/1999,12463751,2002 Dec 10,OTHER,train
40,SKEMPI v2.0,"1GC1:C, G::PMID=2402498",1GC1,,G,C,gp120,CD4,3.6e-09,RA,X-RAY DIFFRACTION,298.0,2.5,9641677.0,08/07/1998,2402498,1990 Sep,OTHER,train
314,SKEMPI v2.0,"4NZW:A, B::PMID=24746913",4NZW,,A,B,MO25,STK25,5.04e-07,BLI,X-RAY DIFFRACTION,298.0,3.58,24746913.0,03/12/2014,24746913,2014 May,OTHER,train
24,SKEMPI v2.0,"1DAN:H, L, T, U::PMID=7756258",1DAN,,"H, L","T, U",Factor VIIa,Tissue factor,2.6e-12,Other,X-RAY DIFFRACTION,310.0,2.0,8598903.0,04/09/1997,7756258,1995 May 16,OTHER,train
128,SKEMPI v2.0,"2AJF:A, E::PMID=15791205",2AJF,,A,E,Human Angiotensin-converting enzyme 2,SARS spike protein receptor binding domain,1.62e-08,SPR,X-RAY DIFFRACTION,298.0,2.9,16166518.0,20/09/2005,15791205,2005 Apr 20,OTHER,train
308,SKEMPI v2.0,"4LRX:A, B, C, D::PMID=24440518",4LRX,,"A, B","C, D",DhaK,DhaR(N),1.5e-05,ITC,X-RAY DIFFRACTION,293.0,3.25,24440518.0,29/01/2014,24440518,2014 Mar 4,OTHER,train
8294,Affinity Benchmark v5.5,"1E4K:A, B, C::PMID=11544262",1E4K,,"A, B",C,FC fragment of human IgG 1,Human FCGR III,1.7e-06,,X-RAY DIFFRACTION,300.15,3.2,10917521.0,06/08/2000,11544262,2001 Nov 30,OTHER,train
8315,Affinity Benchmark v5.5,"1IB1:A, B, E::PMID=11336675",1IB1,,"A, B",E,14-3-3 protein,Serotonin N-acteylase,2e-08,,X-RAY DIFFRACTION,279.15,2.7,11336675.0,02/05/2001,11336675,2001 Apr 20,OTHER,train
137,SKEMPI v2.0,"2B42:A, B::PMID=16279951",2B42,,A,B,TAXI-I,B. subtilis endoxylanase,1.07e-09,SPR,X-RAY DIFFRACTION,295.0,2.5,19769747.0,19/09/2006,16279951,2005 Nov,OTHER,train
293,SKEMPI v2.0,"4HSA:A, B, C::PMID=23695682",4HSA,,"A, B",C,Interleukin-17a,Interleukin-17 receptor A,2.46e-09,SPR,X-RAY DIFFRACTION,298.0,3.15,23695682.0,22/05/2013,23695682,2013,OTHER,train
242,SKEMPI v2.0,"3N85:A, H, L::PMID=20654626",3N85,,A,"H, L",HER2,Fab37,7.9e-10,SPR,X-RAY DIFFRACTION,298.0,3.2,20654626.0,28/07/2010,20654626,2010 Sep 10,OTHER,train
288,SKEMPI v2.0,"4GNK:A, B::PMID=23377541",4GNK,,A,B,G(q) alpha,PLC beta 3,2.2e-07,FL,X-RAY DIFFRACTION,298.0,4.0,23377541.0,06/02/2013,23377541,2013 Mar,OTHER,train
340,SKEMPI v2.0,"5K39:A, B::PMID=27924829",5K39,,A,B,C. thermocellum ScaC2 cohesin 2,C. thermocellum CipB dockerin,1.66e-08,ITC,X-RAY DIFFRACTION,318.0,1.98,27924829.0,29/03/2017,27924829,2016 Dec 7,OTHER,train
199,SKEMPI v2.0,"3BE1:A, H, L::PMID=19299620",3BE1,,"H, L",A,bH1 Fab,erbB-2,2.6e-08,SPR,X-RAY DIFFRACTION,298.0,2.9,19299620.0,18/11/2008,19299620,2009 Mar 20,OTHER,train
8280,Affinity Benchmark v5.5,"1GXD:A, C::PMID=9368077",1GXD,,A,C,ProMMP2 type IV collagenase,Metalloproteinase inhibitor 2,5.2e-09,,X-RAY DIFFRACTION,300.15,3.1,12032297.0,09/07/2002,9368077,1997 Nov 21,OTHER,train
8363,Affinity Benchmark v5.5,"4M76:A, B::PMID=24065820",4M76,,A,B,C3D,Integrin alpha-M CD11B A-domain,4.5e-07,,X-RAY DIFFRACTION,298.0,2.8,24065820.0,02/10/2013,24065820,2013 Oct 8,OTHER,train
313,SKEMPI v2.0,"4NM8:A, B, C, D, E, F, H, L::PMID=24335589",4NM8,,"A, B, C, D, E, F","H, L",1968 Hemagglutinin,CR8043 fab,2.5e-09,BLI,X-RAY DIFFRACTION,303.0,4.0,24335589.0,25/12/2013,24335589,2014 Jan 7,OTHER,train
200,SKEMPI v2.0,"3BIW:A, E::PMID=18093522",3BIW,,A,E,Neuroligin-1,Neurexin-1-beta,9.7e-08,ITC,X-RAY DIFFRACTION,293.0,3.5,18093522.0,18/12/2007,18093522,2007 Dec 20,OTHER,train
330,SKEMPI v2.0,"4YFD:A, B::PMID=25908590",4YFD,,A,B,PTP delta,IL-1RAcP,6.8e-07,SPR,X-RAY DIFFRACTION,298.0,3.25,25908590.0,06/05/2015,25908590,2015 Apr 24,OTHER,train
3,SKEMPI v2.0,"1AHW:A, B, C::PMID=9480775",1AHW,,"A, B",C,Immunoglobulin fab 5G9,Tissue factor,3.4e-09,IASP,X-RAY DIFFRACTION,298.0,3.0,9480775.0,25/02/1998,9480775,1998 Feb 6,OTHER,train
291,SKEMPI v2.0,"4HFK:A, B, D::PMID=23288853",4HFK,,A,"B, D",Tae4,Tai4,2.69e-10,SPR,X-RAY DIFFRACTION,298.0,2.1,23288853.0,16/01/2013,23288853,2013 Feb 22,OTHER,train
302,SKEMPI v2.0,"4K71:A, B, C::PMID=24120761",4K71,,A,"B, C",Human Serum Albumin,FcRn,3e-09,ELISA,X-RAY DIFFRACTION,298.0,2.4,24120761.0,23/10/2013,24120761,2013 Nov 5,OTHER,train
8278,Affinity Benchmark v5.5,"1KXP:A, D::PMID=2910852",1KXP,,A,D,Actin,Vitamin D binding protein,9e-10,,X-RAY DIFFRACTION,300.15,2.1,12048248.0,19/06/2002,2910852,1989 Jan 15,OTHER,train
8370,Affinity Benchmark v5.5,"1WQ1:G, R::PMID=8262937",1WQ1,,R,G,Ras GTPase.GDP,Ras GAP,1.7e-05,,X-RAY DIFFRACTION,305.15,2.5,9219684.0,15/07/1998,8262937,1993 Dec 25,OTHER,train
219,SKEMPI v2.0,"3EG5:A, B::PMID=18829452",3EG5,,A,B,M. musculus Cdc42,MdiaN-TSH,1.25e-06,ITC,X-RAY DIFFRACTION,293.0,2.7,18829452.0,14/10/2008,18829452,2008 Dec 12,OTHER,train
336,SKEMPI v2.0,"5DWU:A, B, H, L::PMID=26651396",5DWU,,"H, L","A, B",CSL311 fab,Cytokine receptor common subunit beta,1e-10,SPR,X-RAY DIFFRACTION,310.0,3.97,26651396.0,30/12/2015,26651396,2016,OTHER,train
151,SKEMPI v2.0,"2G2W:A, B::PMID=16809340",2G2W,,A,B,SHV-1 beta-lactamase,BLIP,5.82e-07,IASP,X-RAY DIFFRACTION,298.0,1.8,16809340.0,04/07/2006,16809340,2006 Sep 8,OTHER,train
264,SKEMPI v2.0,"3SE8:G, H, L::PMID=27908641",3SE8,,"H, L",G,VRC03 Fab,gp120,6.3e-08,SPR,X-RAY DIFFRACTION,303.0,1.9,21835983.0,10/08/2011,27908641,2017 Apr 7,OTHER,train
247,SKEMPI v2.0,"3NVN:A, B::PMID=20727575",3NVN,,B,A,Plexin-C1,A39R,9.4e-09,ITC,X-RAY DIFFRACTION,303.0,2.26,20727575.0,15/09/2010,20727575,2010 Sep 3,OTHER,train
315,SKEMPI v2.0,"4O27:A, B::PMID=24746913",4O27,,A,B,MO25,MST3,2.5e-08,BLI,X-RAY DIFFRACTION,298.0,3.19,24746913.0,03/12/2014,24746913,2014 May,OTHER,train
122,SKEMPI v2.0,"1YCS:A, B::PMID=16887812",1YCS,,A,B,p53 core domain,53BP2,2.2e-06,ITC,X-RAY DIFFRACTION,293.0,2.2,8875926.0,19/11/1997,16887812,2006 Oct 27,OTHER,train
332,SKEMPI v2.0,"4ZS6:A, H, L::PMID=26281793",4ZS6,,"H, L",A,MERS-27 fab,MERS-CoV envolope protein S,3.12e-07,SPR,X-RAY DIFFRACTION,298.0,3.17,26281793.0,02/09/2015,26281793,2015 Aug 18,OTHER,train
70,SKEMPI v2.0,"1N8Z:A, B, C::PMID=23527120",1N8Z,,"A, B",C,Herceptin,erbB-2,1.31e-09,SPR,X-RAY DIFFRACTION,298.0,2.52,12610629.0,18/02/2003,23527120,2013,OTHER,train
237,SKEMPI v2.0,"3MZG:A, B::PMID=20889499",3MZG,,A,B,Prolactin,Prolactin receptor,1.7e-05,SPR,X-RAY DIFFRACTION,298.0,2.1,20889499.0,29/09/2010,20889499,2010 Dec 3,OTHER,train
257,SKEMPI v2.0,"3R9A:A, B, C::PMID=22529745",3R9A,,"A, C",B,Alanine-glyoxylate aminotransferase,PEX5P,3.5e-06,ITC,X-RAY DIFFRACTION,298.0,2.35,22529745.0,11/05/2011,22529745,2012,OTHER,train
47,SKEMPI v2.0,"1HE8:A, B::PMID=11136978",1HE8,,A,B,Phosphatidylinositol 3-kinase,H-Ras1,1.3e-06,Other,X-RAY DIFFRACTION,293.0,3.0,11136978.0,08/01/2001,11136978,2000 Dec 8,OTHER,train
265,SKEMPI v2.0,"3SE9:G, H, L::PMID=27908641",3SE9,,"H, L",G,VRC-PG04,gp120,2.5e-08,SPR,X-RAY DIFFRACTION,303.0,2.0,21835983.0,10/08/2011,27908641,2017 Apr 7,OTHER,train
150,SKEMPI v2.0,"2G2U:A, B::PMID=15284234",2G2U,,A,B,SHV-1 beta-lactamase,BLIP,1.13e-06,IASP,X-RAY DIFFRACTION,298.0,1.6,16809340.0,04/07/2006,15284234,2004 Oct 8,OTHER,train
335,SKEMPI v2.0,"5CYK:A, B::PMID=26476442",5CYK,,A,B,C. thermophilum YTM1,C. thermophilum ERB1,2.49e-07,BLI,X-RAY DIFFRACTION,298.0,3.0,26476442.0,28/10/2015,26476442,2015 Dec 15,OTHER,train
71,SKEMPI v2.0,"1NCA:H, L, N::PMID=9692956",1NCA,,N,"H, L",Subtype N9 neuraminidase,Antibody NC41 scFv,5e-08,FL,X-RAY DIFFRACTION,298.0,2.5,1381757.0,31/01/1994,9692956,1998 Jul 28,OTHER,train
222,SKEMPI v2.0,"3F1S:A, B::PMID=25713144",3F1S,,A,B,Z-dependent protease inhibitor,Protein A/Z,2.1e-09,Other,X-RAY DIFFRACTION,298.0,2.3,19528533.0,30/06/2009,25713144,2015 Apr 10,OTHER,train
285,SKEMPI v2.0,"4FZA:A, B::PMID=23434407",4FZA,,A,B,MO25,MST4,9.12e-09,BLI,X-RAY DIFFRACTION,298.0,3.15,23434407.0,06/03/2013,23434407,2013 Mar 5,OTHER,train
170,SKEMPI v2.0,"2NYY:A, C, D::PMID=17173035",2NYY,,"C, D",A,AR2 mab,BoNT/A1,1.25e-10,Other,X-RAY DIFFRACTION,296.0,2.61,17173035.0,26/12/2006,17173035,2007 Jan,OTHER,train
143,SKEMPI v2.0,"2C5D:A, B, C, D::PMID=16362042",2C5D,,"A, B","C, D",GAS6,Axl,5e-09,SPR,X-RAY DIFFRACTION,298.0,3.3,16362042.0,19/12/2005,16362042,2006 Jan 11,OTHER,train
248,SKEMPI v2.0,"3NVQ:A, B::PMID=20727575",3NVQ,,B,A,Plexin-C1,Semaphorin-7A,2.87e-07,ITC,X-RAY DIFFRACTION,303.0,2.4,20727575.0,15/09/2010,20727575,2010 Sep 3,OTHER,train
8307,Affinity Benchmark v5.5,"1T6B:X, Y::PMID=15044490",1T6B,,X,Y,Anthrax protective antigen,Anthrax toxin receptor,1.7e-10,,X-RAY DIFFRACTION,295.15,2.5,15243628.0,20/07/2004,15044490,2004 May 28,OTHER,train
